"1
N5",一,Nhất,Một
訓,一つ,ひとつ,một cái
,一言,ひとこと,một lời
音： いち、いつ,一時,いちじ,một giờ
,万一,まんいち,bất đắc dĩ
,統一,とういつ,sự thống nhất
"2
N3",丁,Đinh,Đinh (can)
音： てい、ちょう,丁寧,ていねい,lịch sự
,丁重,ていちょう,lịch sự
,装丁,そうてい,khuôn dạng
,包丁,ほうちょう,con dao
,丁度,ちょうど,vừa chuẩn
"3
N5",七,Thất,Số bảy
訓,七つ,ななつ,7 cái
,七日,なのか,ngày 7
音： しち,七月,しちがつ,tháng 7
,七星,しちせい,thất tinh
,十七,じゅうしち,17
"4
N5",丈,Trượng,"Chiều dài, cao"
訓,丈,たけ,"chiều dài, cao"
音： じょう,丈夫,じょうぶ,"bền, chắc"
,頑丈,がんじょう,chặt chẽ
,万丈,ばんじょう,sống lâu
,美丈夫,びじょうぶ,người đàn ông đẹp
"5
N5",三,Tam,Số ba
訓,三つ,みっつ,3 cái
音： さん,三人,さんにん,3 người
,三男,さんなん,con trai thứ 3
,三国,さんごく,3 nước
,再三,さいさん,vài lần
"6
N5",上,Thượng,Trên
訓,上着,うわぎ,áo vét
,川上,かわかみ,thượng nguồn
,（を）上げる,（を）あげる,tăng lên
,（が）上がる,（が）あがる,tăng lên
,（を）上る,（を）のぼる,leo lên
,（を）上す,（を）のぼす,leo lên
,（を）上せる,（を）のぼせる,leo lên
音： じょう,上手,じょうず,giỏi
"7
N5",下,Hạ,Dưới
訓,下着,したぎ,đồ lót
,川下,かわしも,hạ nguồn
,（を）下げる,（を）さげる,hạ xuống
,（が）下がる,（が）さがる,hạ xuống
,（を）下す,（を）くだす,đi xuống
,（を）下る,（を）くだる,đi xuống
,（を）下さる,（を）くださる,đi xuống
,（が）下りる,（が）おりる,"xuống, rút tiền"
,（を）下ろす,（を）おろす,"xuống, rút tiền"
音： か、げ,部下,ぶか,cấp dưới
,下車,げしゃ,xuống xe
"8
N3",与,Dự,Cùng với
訓,（を）与える,（を）あたえる,ban thưởng
音： よ,与党,よとう,đảng cầm quyền
,給与,きゅうよ,tiền lương
,供与,きょうよ,sự cung ứng
,参与,さんよ,góp phần vào
"9
N5",万,Vạn,10000
,一万,いちまん,10000
音： まん、ばん,万年筆,まんねんひつ,bút máy
,万全,ばんぜん,chu đáo
,万能,ばんのう,toàn năng
,万歳,ばんざい,tung hô
"１0
N5",不,Bất,Không
音： ふ、ぶ,不便,ふべん,bất tiện
,不安,ふあん,bất an
,不細工,ぶさいく,vụng về
,不気味,ぶきみ,điềm gở
,不器用,ぶきよう,sự vụng về
"11
N3",且,Thả,Và
訓,且つ,かつ,ngoài ra
"12
N5",世,Thế,Thế giới
訓,世の中,よのなか,xã hội
音： せ、せい,世界,せかい,thế giới
,世紀,せいき,thế kỉ
,後世,こうせい,thế hệ sau
,中世,ちゅうせい,tuổi trung niên
"13
N2",丘,Khâu,Ngọn đồi
訓,丘,おか,ngọn đồi
音： きゅう,丘陵,きゅうりょう,đồi núi
,砂丘,さきゅう,cồn cát
,小丘,しょうきゅう,đồn nhỏ
,,,
"14
N2",丙,Bính,Bính (can)
音： へい,丙種,へいしゅ,hạng ba
,丙夜,へいや,từ 11h - 1h
,甲乙丙,こうおつへい,một hai ba
,,,
,,,
"15
N5",両,Lưỡng,Cả hai
音： りょう,両側,りょうがわ,hai bên
,両手,りょうて,hai tay
,両方,りょうほう,cả hai hướng
,両親,りょうしん,bố mẹ
,車両,しゃりょう,xe cộ
"16
N4",並,Tịnh,Bình thường
訓,（を）並べる,（を）ならべる,"xếp, bày ra"
,（が）並ぶ,（が）ならぶ,"xếp, bày ra"
,並びに,ならびに,và
,並木,なみき,hàng cây
音： へい,並行,へいこう,"song song, song hành"
"17
N5",中,Trung,Giữa
訓,中,なか,ở giữa
,夜中,よなか,nữa đêm
,中身,なかみ,bên trong
音： ちゅう、じゅう,中央,ちゅうおう,trung ương
,世界中,せかいじゅう,khắp thế giới
"18
N2",串,Xuyến,Cái xiên
訓,串,くし,cái xiên
,竹串,たけぐし,cái xiên tre
"１9
N5",丸,Hoàn,Tròn
訓,丸い,まるい,hình tròn
,（を）丸める,（を）まるめる,cuộn tròn
,（が）丸まる,（が）まるまる,cuộn tròn
音： がん,一丸,いちがん,một khối
,弾丸,だんがん,viên đạn
,砲丸,ほうがん,bóc vỏ
"２０
N2",丹,Đan,Đất đỏ
音： たん,丹念,たんねん,"cẩn thận, siêng năng"
,丹精,たんせい,hết lòng
,丹前,たんぜん,áo bông dày
,丹誠,たんせい,"hết lòng, thành tâm"
,鉛丹,えんたん,chỉ đó
"２１
N5",主,Chủ,Ông chủ
訓,主に,おもに,chủ yếu
,店主,てんぬし,chủ tiệm
音： しゅ,主人公,しゅじんこう,nhân vật chính
,主要,しゅよう,chủ yếu
,民主,みんしゅ,dân chủ
"２２
N2",丼,Đảm,Cái bát
訓,丼,どんぶり,cái bát
音： どん,牛丼,ぎゅうどん,cơm thịt bò
,天丼,てんどん,cơm + tempura
,うな丼,うなどん,cơm lươn
,,,
"２３
N4",久,Cửu,Đã lâu
訓,久しい,ひさしい,đã lâu
音： きゅう,永久,えいきゅう,vĩnh cửu
,耐久,たいきゅう,sự chịu đựng
,持久,じきゅう,sự lâu dài
,恒久,こうきゅう,sự vĩnh viễn
"２４
N3",乏,Phạp,Nghèo
訓,乏しい,とぼしい,nghèo
音： ぼう,貧乏,びんぼう,sự bần cùng
,欠乏,けつぼう,sự thiếu thốn
,耐乏,たいぼう,sự đói khát
,窮乏,きゅうぼう,túng quẩn
"２５
N5",乗,Thừa,Lên xe
訓,乗る,のる,lên xe
,乗せる,のせる,chất
音： じょう,乗車,じょうしゃ,lên xe
,乗客,じょうきゃく,hành khách
,乗員,じょういん,"tiếp viên, thủy thủ"
"２６
N2",乙,Ất,Bên B (hợp đồng)
音： おつ,乙仲,おつなか,môi giới cho thuê
,乙女,おつじょ,thiếu nữ
,甲乙,こうおつ,sự so sánh
"２７
N5",九,Cửa,Số chín
訓,九つ,ここのつ,9 cái
,九日,ここのか,ngày 9
音： きゅう、く,九州,きゅうしゅう,tên địa danh
,九月,くがつ,tháng 9
,九時,くじ,9 giờ
"２８
N2",乞,Khất,Yêu cầu lời xin
音： こ,乞食,こじき,ăn xin
"２９
N5",乳,Nhũ,Sữa
訓,乳,ちち／ち,vú động vật
音： にゅう,乳歯,にゅうし,răng sữa
,豆乳,とうにゅう,sữa đậu nành
,牛乳,ぎゅうにゅう,sữa
"３０
N3",乾,Can,Khô
訓,乾かす,かわかす,hong khô
,乾く,かわく,khô ráo
音： かん,乾季,かんき,mùa khô
,乾杯,かんぱい,cạn ly
,乾燥,かんそう,"khô khan, nhạt nhẽo"
,,,
"３１
N3",乱,Loạn,Đảo lộn
訓,乱す,みだす,đảo lộn
,乱れる,みだれる,bị lộn xộn
音： らん,乱用,らんよう,sự lạm dụng
,乱暴,らんぼう,vô lễ
,混乱,こんらん,hỗn loạn
"３２
N3",了,Liễu,Kết thúc
音： りょう,了解,りょうかい,sự hiểu rõ
,了承,りょうしょう,sự tán thành
,完了,かんりょう,hoàn thành
,終了,しゅうりょう,kết thúc
,修了,しゅうりょう,kết thúc(khóa học)
"３３
N4",予,Dự,Dự định
訓,予め,あらかじめ,sẵn sàng
音： よ,予定,よてい,dự định
,予約,よやく,đặt trước
,予想,よそう,dự đoán
,予報,よほう,dự báo
"３４
N3",争,Tranh,Cạnh tranh
訓,争う,あらそう,cạnh tranh
音： そう,戦争,せんそう,chiến tranh
,競争,きょうそう,thi đấu
,論争,ろんそう,tranh luận
,紛争,ふんそう,tranh chấp
"３５
N5",事,Sự,Sự việc
訓,仕事,しごと,công việc
,物事,ものごと,sự việc
音： じ,事故,じこ,sự cố
,事件,じけん,sự kiện
,事務所,じむしょ,văn phòng
"３６
N5",二,Nhị,Số hai
訓,二つ,ふたつ,hai cái
,二人,ふたり,hai người
,二晩,ふたばん,hai đêm
音： に,二百,にひゃく,hai trăm
,二度,にど,hai lần
"３７
N3",互,Hổ,Tương hổ
訓,互い,たがい,song phương
音： ご,互助,ごじょ,sự giúp đỡ
,互換,ごかん,thay cho nhau
,相互,そうご,sự qua lại
,交互,こうご,sự tương tác
"３８
N5",五,Ngũ,Số năm
訓,五つ,いつつ,năm cái
音： ご,五感,ごかん,năm giác quan
,五色,ごしき,năm màu sắc
,五輪,ごりん,thế vận hội
,五塔,ごとう,năm tòa tháp
"３９
N2",井,Tỉnh,Cái giếng
訓,井戸,いど,cái giếng
音： せい、じょう,井泉,せいせん,giếng nước
,油井,ゆせい,giếng dầu
,市井,しせい,phố thị
,天井,てんじょう,trần nhà
"４０
N2",亜,Á,Châu Á
音： あ,亜州,あしゅう,Châu Á
,亜鉛,あえん,kẽm
,亜種,あしゅう,sinh vật học (loài phụ)
,亜麻,あま,sợi lanh
"４１
N5",亡,Vong,Tử vong
訓,（を）亡くす,（を）なくす,làm mất
,（が）亡くなる,（が）なくなる,qua đời
音： ぼう,死亡,しぼう,qua đời
,滅亡,めつぼう,sự diệt vong
,逃亡,とうぼう,chạy trốn
"４２
N5",交,Giao,Trao đổi
訓,交わす,かわす,trao đổi
,交う,かう,
,交じる,まじる,
,交ぜる,まぜる,pha trộn
,交ざる,まざる,
,交える,まじえる,
,交わる,まじわる,giao nhau
音： こう,交換,こうかん,chuyển đổi
,交流,こうりゅう,giao lưu
"４３
N2",享,Hưởng,Thưởng thức
音： きょう,享受,きょうじゅ,hưởng thụ
,享楽,きょうらく,ham mê
,享年,きょうねん,hưởng thọ
,享有,きょうゆう,được hưởng
,,,
"４４
N5",京,Kinh,Kinh đô
音： きょう、けい,東京,とうきょう,đông kinh
,上京,じょうきょう,lên tokyo
,帝京,ていきょう,kinh đô
,帰京,ききょう,về thủ đô
,京阪,けいはん,kyoto và osaka
,,,
,,,
"４５
N2",亭,Đình,Gian hàng
音： てい,亭主,ていしゅ,người chủ gia đình
,旅亭,りょてい,nhà trọ
,料亭,りょうてい,nhà hàng (Nhật)
,,,
"４６
N5",人,Nhân,Người
訓,人,ひと,người
音： にん、じん,人気,にんき,ưa chuộng
,人間,にんげん,con người
,個人,こじん,cá nhân
,人事,じんじ,nhân sự
４７,イ,Bộ nhân đứng,
４８,儿,Bộ nhân đi,
４９,𠆢,Bộ nhân nón,
"５０
N5",今,Kim,Bây giờ
訓,今更,いまさら,đến lúc này
音： こん、きん,今日,こんにち,ngày nay
,今春,こんしゅん,xuân năm nay
,今古,きんこ,xưa và nay
