"７２１
N3",怠,Đãi,Lười biếng
訓,（を）怠ける,（を）なまける,lười biếng
,（を）怠る,（を）おこたる,"bỏ bê, lơ là"
音： たい,怠惰,たいだ,"biếng nhác, uể oải"
,怠慢,たいまん,cẩu thả
,怠業,たいぎょう,sự phá hoại
"７２２
N2",怨,Oán,Oán giận
音： おん、えん,怨念,おんねん,"lòng thù ghét, sự oán thù"
,怨霊,おんりょう,hồn ma báo oán
,怨言,えんげん,"lời oán thán, lời oán giận"
,怨恨,えんこん,"sự thù hằn, mối hận thù"
,私怨,しえん,mối tư thù
"７２３
N5",思,Tư,"Nghĩ, hình dung"
訓,思う,おもう,nghĩ
音： し,思考,しこう,sự suy nghĩ
,思想,しそう,tư tưởng
,思春期,ししゅんき,tuổi dậy thì
,不思議,ふしぎ,"bí ẩn, huyền bí"
"７２４
N4",息,Tức,Hơi thở
訓,息,いき,hơi thở
音： そく,子息,しそく,"con trai, bé trai"
,生息,せいそく,việc sinh sống (động vật)
,休息,きゅうそく,nghỉ ngơi
,消息,しょうそく,"tình hình, tin tức"
"７２５
N2",恩,Ân,"Ân nhân, biết ơn"
音： おん,恩師,おんし,ân sư
,恩義,おんぎ,ơn nghĩa
,恩典,おんてん,đặc ân
,恩赦,おんしゃ,ân xá
,知恩,ちおん,"biết ơn, tri ân"
"７２６
N3",恐,Khủng,Sợ hãi
訓,恐れる,おそれる,"sợ, lo sợ"
,恐ろしい,おそろしい,"đáng sợ, kinh khủng"
音： きょう,恐縮,きょうしゅく,"ngại, áy náy"
,,,
,,,
"７２７
N2",恵,Huệ,Ân huệ
訓,恵む,めぐむ,ban cho
音： けい、え,互恵,ごけい,"việc dành cho nhau những đặc
quyền"
,天恵,てんけい,lộc của trời
,恩恵,おんけい,ân huệ
,知恵,ちえ,trí tuệ
"７２８
N4",恥,Sỉ,Mắc cỡ
訓,恥ずかしい,はずかしい,"mắc cỡ, xấu hổ"
,恥,はじ,sự xấu hổ
,恥じる,はじる,cảm thấy xấu hổ
,恥じらう,はじらう,ngượng ngùng
音： ち,恥辱,ちじょく,sự sỉ nhục
,無恥,むち,sự vô sỉ
"７２９
N5",恋,Luyến,Thương mến
訓,恋しい,こいしい,"thương nhớ, nhớ nhung"
,恋う,こう,yêu
,恋人,こいびと,người yêu
音： れん,恋愛,れんあい,tình yêu
,失恋,しつれん,thất tình
,悲恋,ひれん,chuyện tình buồn
"７３０
N2",恣,Tứ,Tự ý
音： し,恣意,しい,sự ích kỷ
,放恣,ほうし,"phóng túng, bừa bãi"
"７３１
N5",悪,Ác,Xấu
訓,悪い,わるい,"xấu, ác"
音： あく、お,悪魔,あくま,ác ma
,悪化,あっか,tình hình xấu đi
,罪悪,ざいあく,tội lỗi
,嫌悪,けんお,sự chán ghét
"７３２
N3",患,Hoạn,Bị bệnh
訓,患う,わずらう,đau khổ vì bệnh tật
音： かん,患者,かんじゃ,bệnh nhân
,患難,かんなん,"sự lo lắng, nỗi khổ sở"
,疾患,しっかん,căn bệnh
,急患,きゅうかん,bệnh cấp tính
"７３３
N2",悠,Du,"Rảnh, yên"
音： ゆう,悠久,ゆうきゅう,"bất tận, mãi mãi"
,悠長,ゆうちょう,"điềm đạm, từ tốn"
,悠揚,ゆうよう,bình tĩnh
,悠然,ゆうぜん,"thản nhiên, điềm tĩnh"
,悠遠,ゆうえん,xa xôi
"７３４
N4",悲,Bi,Đau buồn
訓,悲しい,かなしい,đau buồn
,悲しむ,かなしむ,buồn
,悲しみ,かなしみ,nỗi buồn
音： ひ,悲痛,ひつう,đau thương
,悲観,ひかん,bi quan
,悲惨,ひさん,bi thảm
"７３５
N3",惑,Hoặc,"Đi lạc, say mê"
訓,惑う,まどう,"lúng túng, bối rối"
音： わく,惑星,わくせい,hành tinh
,困惑,こんわく,"sự bối rối, khó xử"
,迷惑,めいわく,sự phiền phức
,疑惑,ぎわく,sự nghi hoặc
"７３６
N5",意,Ý,Ý chí
音： い,意見,いけん,ý kiến
,意識,いしき,ý thức
,意欲,いよく,ý muốn
,合意,ごうい,sự thống nhất ý kiến
,決意,けつい,"quyết định, quyết tâm"
"７３７
N4",感,Cảm,Cảm tưởng
訓,感じる,かんじる,cảm thấy
音： かん,感染,かんせん,sự lây nhiễm
,感覚,かんかく,cảm giác
,感情,かんじょう,tình cảm
,実感,じっかん,cảm nhận thực tế
"７３８
N4",想,Tưởng,Tư tưởng
訓,想う,おもう,suy nghĩ tới
音： そう,予想,よそう,dự đoán
,構想,こうそう,"ý tưởng, kế hoạch"
,空想,くうそう,sự không tưởng
,発想,はっそう,ý tưởng mới
"７３９
N4",愛,Ái,Yêu thương
訓,愛する,あいする,yêu thương
音： あい,愛犬,あいけん,cún (chó) cưng
,愛国,あいこく,sự yêu nước
,愛情,あいじょう,tình yêu thương
,友愛,ゆうあい,"hữu ái, sự thân mật"
"７４０
N2",愚,Ngu,Đần độn
訓,愚か,おろか,"ngu ngốc, ngớ ngẩn"
音： ぐ,愚痴,ぐち,"than thở, than vãn"
,愚行,ぐこう,hành động dại dột
,愚弄,ぐろう,sự chế nhạo
,愚直,ぐちょく,"khờ, ngốc nghếch"
"７４１
N2",慈,Từ,Từ thiện
訓,（を）慈しむ,（を）いつくしむ,"trân trọng, yêu thương"
音： じ,慈悲,じひ,sự từ bi
,慈愛,じあい,"sự nhân từ, sự yêu thương"
,慈善,じぜん,sự từ thiện
,仁慈,じんじ,nhân từ
"７４２
N2",愁,Sầu,Buồn rầu
訓,愁い,うれい,nỗi u sầu
,愁える,うれえる,"buồn rầu, than thở"
音： しゅう,愁傷,しゅうしょう,sầu thương
,悲愁,ひしゅう,sự đau buồn
,憂愁,ゆうしゅう,sự u sầu
,郷愁,きょうしゅう,"nỗi nhớ nhà, hoài niệm chuyện cũ"
"７４３
N3",態,Thái,Thái độ
音： たい,事態,じたい,tình thế
,形態,けいたい,hình thái
,実態,じったい,thực trạng
,状態,じょうたい,trạng thái
,生態系,せいたいけい,hệ sinh thái
"７４４
N2",恭,Cung,Cung kính
訓,恭しい,うやうやしい,"kính cẩn, lễ phép"
音： きょう,恭賀,きょうが,lời chúc mừng (kính trọng)
,恭敬,きょうけい,"sự tôn kính, lòng kính trọng"
,恭順,きょうじゅん,phục tùng
"７４５
N3",慕,Mộ,Ái mộ
訓,慕う,したう,"ngưỡng mộ, ái mộ"
音： ぼ,慕情,ぼじょう,lòng yêu mến
,思慕,しぼ,sự nhớ mong
,恋慕,れんぼ,"sự phải lòng, sự yêu"
,敬慕,けいぼ,"sự kính yêu, sự khâm phục"
"７４６
N3",慮,Lự,"Nghĩ ngợi, lo"
音： りょ,苦慮,くりょ,sự trăn trở
,考慮,こうりょ,"sự suy nghĩ, sự quan tâm"
,遠慮,えんりょ,"ngại ngùng, ngần ngại"
,配慮,はいりょ,sự quan tâm
,憂慮,ゆうりょ,"sự lo lắng, sự nóng ruột"
"７４７
N2",慰,Ủy,An ủi
訓,（を）慰める,（を）なぐさめる,an ủi
,（が）慰む,（が）なぐさむ,được an ủi
音： い,慰安,いあん,sự an ủi
,慰霊,いれい,sự an ủi linh hồn người chết
,慰謝,いしゃ,sự an ủi
,慰留,いりゅう,sự khuyên can
"７４８
N2",憂,Ưu,Ưu phiền
訓,憂い,うれい,nỗi buồn
,（を）憂える,（を）うれえる,"đau lòng, lo âu"
音： ゆう,憂国,ゆうこく,lòng yêu nước
,憂憤,ゆうふん,sự giận dữ
,同憂,どうゆう,việc chia sẻ nỗi buồn
"７４９
N2",慶,Khánh,"Mừng, phước"
音： けい,慶事,けいじ,"điềm lành, điềm tốt"
,慶賀,けいが,chúc mừng
,弁慶,べんけい,người đàn ông mạnh mẽ
,御慶,ぎょけい,lời chúc mừng (năm mới)
,恭慶,きょうけい,
"７５０
N2",憲,Hiến,Hiến pháp
音： けん,憲法,けんぽう,hiến pháp
,憲章,けんしょう,hiến chương
,違憲,いけん,sự vi phạm hiến pháp
,護憲,ごけん,việc bảo vệ hiến pháp
,改憲,かいけん,việc sửa đổi hiến pháp
"７５１
N3",憩,Khế,Nghỉ ngơi
訓,憩う,いこう,"nghỉ ngơi, thư giãn"
,憩い,いこい,"sự nghỉ ngơi, thư giãn"
音： けい,休憩,きゅうけい,nghỉ giải lao
,小憩,しょうけい,nghỉ một chút
,少憩,しょうけい,thời gian nghỉ ngắn
"７５２
N2",懇,Khẩn,Khẩn cấp
訓,懇ろ,ねんごろ,"mến khách, thân mật"
音： こん,懇意,こんい,"thân thiện, tình bạn"
,懇願,こんがん,sự khẩn cầu
,懇談,こんだん,cuộc trò chuyện
,懇親,こんしん,sự thân tình
"７５３
N2",懲,Trừng,Trừng phạt
訓,（を）懲らす,（を）こらす,"trừng phạt, trừng trị"
,（を）懲らしめる,（を）こらしめる,"trừng phạt, trừng trị"
,懲りる,こりる,tỉnh ngộ
音： ちょう,懲悪,ちょうあく,sự trừng phạt cái ác
,懲役,ちょうえき,"khổ sai, phạt tù cải tạo"
,懲罰,ちょうばつ,sự trừng phạt
"７５４
N4",懸,Huyền,Treo
訓,（を）懸ける,（を）かける,"treo, căng lên"
,（が）懸かる,（が）かかる,"được treo, được căng lên"
音： けん、け,懸命,けんめい,"hết sức, hết mình"
,懸賞,けんしょう,việc treo thưởng
,懸念,けねん,sự lo lắng
"７５５
N5",忙,Mang,Bận rộn
訓,忙しい,いそがしい,bận rộn
