"801
N5",才,Tài,"Tuổi, tài năng"
音： さい,才気,さいき,tài trí
,才人,さいじん,tài nhân
,才能,さいのう,tài năng
,多才,たさい,đa tài
,俊才,しゅんさい,tài năng nổi bật
"８０２
N5",手,Thủ,Tay
訓,手,て,tay
音： しゅ,手段,しゅだん,"phương tiện, cách thức"
,歌手,かしゅ,ca sĩ
,投手,とうしゅ,người ném bóng
,選手,せんしゅ,vận động viên
８０３,扌,Bộ thủ,
"８０４
N4",打,Đả,Đánh
訓,（を）打つ,（を）うつ,"đánh bóng, đánh chữ"
音： だ,打開,だかい,phá vỡ khó khăn
,打撃,だげき,đả kích
,強打,きょうだ,"đánh mạnh, đập mạnh"
,殴打,おうだ,đánh nhau
"８０５
N5",払,Phất,"Trả tiền, phủi"
訓,（を）払う,（を）はらう,"trả tiền, phủi"
音： ふつ,払暁,ふつぎょう,rạng sáng
,払拭,ふっしょく,"lau chùi, phủi sạch, xóa tan"
,払底,ふってい,"khan hiếm, thiếu thốn"
,,,
"８０６
N2",扱,Tráp,"Cư xử, xử lý"
訓,（を）扱う,（を）あつかう,"cư xử, xử lý"
,,,
,,,
"８０７
N4",投,Đầu,Ném
訓,（を）投げる,（を）なげる,ném
音： とう,投資,とうし,đầu tư
,投信,とうしん,quỹ đầu tư
,投入,とうにゅう,ném vào
,投了,とうりょう,chấp nhận thua
"８０８
N3",折,Chiết,"Bẻ, gập"
訓,（を）折る,（を）おる,"bẻ, gập, làm gẫy"
,（が）折れる,（が）おれる,bị gẫy
音： せつ,曲折,きょくせつ,"quanh co, uốn khúc"
,骨折,こっせつ,bị gẫy xương
,折衝,せっしょう,"đàm phán, thương lượng"
"８０９
N4",技,Kỹ,Kỹ năng
訓,技,わざ,kỹ năng
音： ぎ,技術,ぎじゅつ,kỹ thuật
,技法,ぎほう,phương pháp kỹ thuật
,特技,とくぎ,kỹ năng đặc biệt
,演技,えんぎ,kỹ năng diễn xuất
"８１０
N2",批,Phê,"Phê bình, phê phán"
音： ひ,批点,ひてん,điểm phê bình
,批難,ひなん,chỉ trích
,批判,ひはん,phê phán
,批評,ひひょう,"phê bình, phê phán"
,批准,ひじゅん,phê chuẩn
"８１１
N2",抗,Kháng,Chống lại
音： こう,抗議,こうぎ,phản đối
,抗体,こうたい,kháng thể
,抗戦,こうせん,kháng chiến
,反抗,はんこう,phản kháng
,対抗,たいこう,chống đối
"８１２
N2",抜,Bạt,Rút ra
訓,（を）抜く,（を）ぬく,rút ra
,（が）抜ける,（が）ぬける,"bị rụng, bị thoát ra, xuyên qua"
,（を）抜かす,（を）ぬかす,bỏ sót
,（が）抜かる,（が）ぬかる,"lơ là, mất cảnh giác"
音： ばつ,抜群,ばつぐん,nổi bật
,抜本,ばっぽん,căn bản
,不抜,ふばつ,"vững vàng, không dao động"
,奇抜,きばつ,"mới lạ, dộc đáo"
,卓抜,たくばつ,"nổi trội, xuất sắc"
"８１３
N2",択,Trạch,Chọn lựa
音： たく,択一,たくいつ,chọn một
,選択,せんたく,tuyển trạch
,採択,さいたく,chọn lựa
,,,
,,,
"８１４
N2",抑,Ức,Kìm chế
訓,（を）抑える,（を）おさえる,"kìm nén, hạn chế"
音： よく,抑止,よくし,"ngăn cản, ngăn chặn"
,抑留,よくりゅう,giam giữ
,抑圧,よくあつ,"đàn áp, áp bức"
,謙抑,けんよく,"hạ mình, nhún nhường"
"８１５
N2",抄,Sao,Sao chép
音： しょう,抄本,しょうほん,bản sao
,抄録,しょうろく,bản tóm lược
,抄訳,しょうやく,lược dịch
,抄出,しょうしゅつ,trích ra
,,,
,,,
"８１６
N2",把,Bả,Nắm bắt
音： は,把握,はあく,"nắm bắt, hiểu được"
,把捉,はそく,nắm chặt
,,,
"８１７
N2",扶,Phù,Phụ giúp
音： ふ,扶持,ふち,hỗ trợ lương bổng
,扶育,ふいく,chăm sóc nuôi dưỡng
,扶養,ふよう,hỗ trợ nuôi dưỡng
,扶助,ふじょ,"nâng đỡ, giúp đỡ"
,扶植,ふしょく,"nâng cao, nuôi dưỡng"
"８１８
N4",招,Chiêu,"Mời, rủ"
訓,（を）招く,（を）まねく,"gọi đến, mời"
音： しょう,招致,しょうち,"vận động, mời gọi, kêu gọi"
,招待,しょうたい,lời mời
,招請,しょうせい,mời đến
,招集,しょうしゅう,tập hợp lại
"８１９
N2",拡,Khuếch,Phóng lớn lên
音： かく,拡大,かくだい,"phóng lớn, làm cho lớn hơn"
,拡散,かくさん,"phân tán, phát tán"
