"８８１
N2",搾,Trá,"Ép, vắt"
訓,（を）搾る,（を）しぼる,"vắt, ép"
音： さく,搾油,さくゆ,ép dầu
,搾取,さくしゅ,bóc lột
,搾乳,さくにゅう,vắt sữa
,圧搾,あっさく,"sự ép, nén"
"８８2
N2",摂,Nhiếp,Thâu vào
訓,（を）摂る,（を）とる,thu vào
音： せつ,摂理,せつり,"đạo trời,sắp đặt"
,摂取,せっしゅ,hấp thụ
,摂政,せっしょう,nhiếp chính
,包摂,ほうせつ,"xếp, gộp"
"８８３
N2",摘,Trích,"Hái, ngắt"
訓,（を）摘む,（を）つむ,"hái, ngắt"
,指摘,してき,chỉ trích
音： てき,摘発,てきはつ,"sự lộ ra, phơi bày"
,摘出,てきしゅつ,"rút ra, lấy ra"
,摘要,てきよう,"đề cương, phác thảo"
"８８４
N2",撃,Kích,Công kích
訓,（を）撃つ,（を）うつ,tấn công
音： げき,反撃,はんげき,phản kích
,遊撃,ゆうげき,đột kích
,攻撃,こうげき,công kích
,爆撃,ばくげき,ném bom
"８８５
N4",撮,Toát,Chụp hình
訓,（を）撮る,（を）とる,chụp hình
音： さつ,撮要,さつよう,"phác thảo, tóm lược"
,空撮,くうさつ,quay phim từ trên không
,特撮,とくさつ,hiệu ứng (trong chụp ảnh)
,盗撮,とうさつ,chụp trộm
"８８６
N2",撤,Triệt,Triệt bỏ
音： てつ,撤回,てっかい,sự hủy bỏ
,撤去,てっきょ,"thu hồi, bãi bỏ"
,撤廃,てっぱい,sự trọn vẹn
,撤退,てったい,"rút lui, rút khỏi"
,撤収,てっしゅう,rút quân
"８８７
N2",撲,Phác,"Đánh, đập"
音： ぼく,撲滅,ぼくめつ,"sự hủy diệt, tiêu diệt"
,撲殺,ぼくさつ,đập tới chết
,打撲,だぼく,vết thâm tím
"８８８
N2",摩,Ma,Cọ sát
音： ま,摩擦,まさつ,ma sát
,摩耗,まもう,sự bào mòn (máy móc)
,摩滅,まめつ,mất thể diện
,摩損,まそん,sự mài mòn
,減摩,げんま,giảm ma sát
"８８９
N2",摯,Chí,Chăm chỉ
音： し,真摯,しんし,"tính thành thật, thật thà"
"８９０
N4",操,Thao,Thao tác
訓,（を）操る,（を）あやつる,thao tác
,操,みさお,danh dự
音： そう,操作,そうさ,vận dụng khéo léo
