"961
N4",暖,Noãn,,Trời ấp áp,
訓,暖かい,あたたかい,,trời ấm,
,暖か（な）,あたたか（な）,,trời ấm,
,（を）暖める,（を）あたためる,,làm ấm căn phòng,
,（が）暖まる,（が）あたたまる,,căn phòng được làm ấm,
音： だん,暖冬,だんとう,,mùa đông không lạnh lắm,
,温暖化,おんだんか,,nhiệt độ ấm dần lên,
"962
N4",暇,Hạ,,Nhàn rỗi,
訓,暇（な）,ひま（な）,,"nhàn rỗi, thời gian rảnh",
音： か,休暇,きゅうか,,"ngày nghỉ, ngày phép",
,余暇,よか,,"thời gian nghỉ ngơi, thư giãn",
,賜暇,しか,,nghỉ phép,
"963
N3",暮,Mộ,,Trời tối,
訓,（で）暮らす,（で）くらす,,sinh sống,
,（が）暮れる,（が）くれる,,"mặt trời lặn, hết năm, hết mùa",
音： ぼ,暮秋,ぼしゅう,,cuối thu,
,野暮,やぼ,,"cục mịch, không tinh tế, thô lỗ",
,薄暮,はくぼ,,chiều tà,
"964
N2",暦,Lịch,,"Dương lịch, âm lịch",
訓,暦,こよみ,,tấm lịch,
音： れき,暦日,れきじつ,,ngày theo lịch,
,陽暦,ようれき,,dương lịch,
,陰暦,いんれき,,âm lịch,
,改暦,かいれき,,thay đổi cách tính thời gian,
"965
N2",暴,"Bạo, Bộc",,Bạo lực,
訓,（が）暴れる,（が）あばれる,,"tàn phá, quậy phá",
,（を）暴く,（を）あばく,,"làm lộ, vạch trần, bới móc",
音： ぼう、ばく,乱暴,らんぼう,,"hỗn láo, ẩu tả",
,暴力,ぼうりょく,,bạo lực,
,暴露,ばくろ,,"bị phơi bày, vạch trần, dầm mưa",
"966
N2",暫,Tạm,,Tạm thời,
訓,暫く,しばらく,,"một lúc, một thời gian",
音： ざん,暫時,ざんじ,,thời gian ngắn,
,暫定,ざんてい,,tạm thời,
"967
N3",曇,Đàm,,Trời âm u,
訓,（が）曇る,（が）くもる,,"bị phủ mờ, bị bao phủ, bị che phủ",
,曇り,くもり,,trời âm u,
音： どん,曇天,どんてん,,thời tiết âm u,
"968
N2",曖,Ái,,Không rõ,
音： あい,曖昧,あいまい,,không rõ,
,,,,,
,,,,,
,,,,,
"969
N5",曜,Diệu,,Ngày trong tuần,
音： よう,曜日,ようび,,ngày trong tuần,
,,,,,
970,曰,Bộ viết,,,
"971
N4",曲,Khúc,,"Uốn cong, rẽ, quẹo",
訓,（を）曲げる,（を）まげる,,"bẻ cong, uốn cong, thay đổi",
,（が）曲がる,（が）まがる,,"bị cong, rẽ, quẹo",
音： きょく,曲線,きょくせん,,đường cong,
,歌曲,かきょく,,ca khúc,
,作曲,さっきょく,,sáng tác ca khúc,
"972
N3",更,Canh,,Đổi mới,
訓,更に,さらに,,"hơn nữa, lại thêm",
,更なる,さらなる,,ngày càng,
,（を）更かす,（を）ふかす,,thâu đêm,
音： こう,更新,こうしん,,"làm mới, gia hạn",
,変更,へんこう,,thay đổi,
"973
N2",冒,Mạo,,Mạo hiểm,
訓,（を）冒す,（を）おかす,,đương đầu,
音： ぼう,冒険,ぼうけん,,mạo hiểm,
,冒頭,ぼうとう,,phần mở đầu,
,感冒,かんぼう,,cảm cúm,
,,,,,
"974
N5",書,Thư,,"Viết, sách",
訓,（を）書く,（を）かく,,"viết, sách",
音： しょ,書記,しょき,,"ghi chép, chức vụ bí thư",
