"1121
N3",求,Cầu,Yêu cầu
訓,（を）求める,（を）もとめる,"yêu cầu, mong muốn, tìm kiếm"
音: きゅう,求人,きゅうじん,"việc tuyển dụng, tìm người"
,要求,ようきゅう,"sự yêu cầu, sự đòi hỏi"
,請求,せいきゅう,"sự thỉnh cầu, lời yêu cầu"
,欲求,よっきゅう,"sự khát khao, sự mong muốn,
nhu cầu"
"1122
N2",沢,Trạch,Đầm lầy
訓,沢,さわ,đầm nước
音： たく,沢山,たくさん,nhiều
,恵沢,けいたく,sự ban phúc
,光沢,こうたく,độ bóng loáng
,色沢,しきたく,màu sắc và độ bóng
"1123
N2",沖,Xung,Biển khơi
訓,沖縄,おきなわ,Okinawa
音： ちゅう,沖積,ちゅうせき,sự bồi đắp phù sa
,沖天,ちゅうてん,"ngất trời, xuất chúng, mạnh mẽ"
,,,
,,,
"1124
N3",沈,Trầm,"Chìm, lặng"
訓,（を）沈める,（を）しずめる,"làm chìm, làm đắm"
,（が）沈む,（が）しずむ,"chìm xuống, lặn xuống"
音： ちん,沈下,ちんか,sự sụt lún
,沈降,ちんこう,"chìm xuống, lắng xuống"
,沈着,ちんちゃく,"bình tĩnh, lắng đọng"
"1125
N2",没,Một,Chìm đắm
音： ぼつ,没後,ぼつご,sau khi chết
,没頭,ぼっとう,"sự chuyên tâm, cắm đầu, vùi đầu"
,没収,ぼっしゅう,tịch thu
,沈没,ちんぼつ,"sự chìm xuống, việc say xỉn,
sự đắm chìm"
,戦没,せんぼつ,sự tử trận
"1126
N2",沙,Sa,Phù sa
音： さ,ご無沙汰,ごぶさた,"lâu rồi không gặp, không liên lạc"
,,,
"1127
N2",汰,Thái,Quá mức
音： た,ご無沙汰,ごぶさた,"lâu rồi không gặp, không liên lạc"
,,,
"1128
N2",沃,Ốc,"Bón, tưới"
音： よく,沃土,よくど,đất đai màu mỡ
,沃野,よくや,cánh đồng màu mỡ
,肥沃,ひよく,"vùng đất màu mỡ, phì nhiêu"
,豊沃,ほうよく,màu mỡ
,,,
"1129
N5",泳,Vịnh,Bơi lội
訓,（を）泳ぐ,（を）およぐ,bơi lội
音： えい,泳者,えいしゃ,người bơi
,水泳,すいえい,môn bơi lội
,遊泳,ゆうえい,việc bơi
,競泳,きょうえい,cuộc thi bơi
"1130
N5",注,Chú,"Rót, chú ý"
訓,（を）注ぐ,（を）そそぐ,"đổ, chảy, rót, tập trung (nỗ lực)"
,（を）注ぐ,（を）つぐ,rót
音： ちゅう,注意,ちゅうい,"sự chú ý, sự nhắc nhở"
