"１２０１
N2",滅,Diệt,Tiêu diệt
訓,（を）滅ぼす,（を）ほろぼす,tiêu diệt
,（が）滅びる,（が）ほろびる,bị phá hủy
音： めつ,滅多に,めったに,hiếm khi
,滅亡,めつぼう,diệt vong
,絶滅,ぜつめつ,"diệt trừ, tuyệt chủng"
"１２０２
N2",溝,Câu,"Mương, rãnh"
訓,溝,みぞ,"khoảng cách, rãnh"
音： こう,側溝,そっこう,"chảy, đào hào"
,海溝,かいこう,chiều sâu
,下水溝,げすいこう,"rãnh nước thải,  cống thoát nước"
,,,
"１２０３
N2",漠,Mạc,"Sa mạc, lờ mờ"
音： ばく,漠然,ばくぜん,"không rõ ràng, hàm hồ,"
,砂漠,さばく,sa mạc
,空漠,くうばく,"mập mờ, lơ đãng"
,荒漠,こうばく,hoang mạc
,広漠,こうばく,"rộng lớn, mênh mông, bao la"
"１２０４
N2",溺,Nịch,Đuối nước
訓,（に）溺れる,（に）おぼれる,"chiìm đắm, ham mê, say mê"
音： でき,溺死,できし,chết đuối
,溺水,できすい,sự ngạt nước
,溺愛,できあい,yêu mù quáng
,,,
"１２０５
N2",溢,Dật,Đầy tràn
訓,（が）溢れる,（が）あふれる,"ngập, tràn ngập"
音： いつ,横溢,おういつ,"tràn đầy, chan chứa"
,充溢,じゅういつ,"tràn qua, phong phú, tươi tốt"
,溢水,いっすい,"lụt lội, ngập lụt"
,溢血,いっけつ,"chảy máu, xuất huyết"
"１２０６
N2",溜,Lưu,Tích trữ
訓,（を）溜める,（を）ためる,"đọng lại, chất đống"
,（が）溜まる,（が）たまる,"dồn lại, căng thẳng"
音： りゅう,溜飲,りゅういん,sự làm thỏa mãn
,分溜,ぶんりゅう,rạn nứt
,乾溜,かんりゅう,sự sấy khô
"１２０７
N3",漁,Ngư,Đánh cá
音： ぎょ、りょう,漁業,ぎょぎょう,"nghề đánh cá, ngư nghiệp"
,漁船,ぎょせん,"tàu đánh cá, thuyền chài"
,漁獲,ぎょかく,sự đánh bắt
,漁民,ぎょみん,ngư dân
,漁師町,りょうしまち,làng chài
"１２０８
N2",演,Diễn,Trình diễn
訓,（を）演（じる／ずる）,（を）えん（じる／ずる）,trình diễn
音： えん,演技,えんぎ,kỹ thuật trình diễn
,演劇,えんげき,"diễn kịch, vỡ kịch"
,演習,えんしゅう,diễn tập thao diễn
