"1361
N3",盛,Thịnh,Phồn thịnh
訓,盛ん（な）,さかん（な）,"phổ biến, thịnh hành"
,（を）盛る,（を）もる,"đổ đầy, làm đầy"
,（が）盛る,（が）さかる,"thịnh hành, phồn thịnh"
音： せい、じょう,盛大,せいだい,"thịnh vượng, phát đạt, hùng vĩ"
,繁盛,はんじょう,"phồn thịnh, thịnh vượng, phát đạt"
"1362
N3",盗,Đạo,Ăn cắp
訓,（を）盗む,（を）ぬすむ,"ăn cắp, lấy cắp, ăn trộm"
音： とう,盗難,とうなん,"trộm cắp, nạn trộm cắp"
,盗塁,とうるい,chạy cướp chốt trong bóng chày
,盗掘,とうくつ,"đào trộm, trộm mộ"
,窃盗,せっとう,"trộm cắp, móc túi, kẻ cắp"
"1363
N2",盟,Minh,Đồng minh
音： めい,同盟,どうめい,đồng minh
,連盟,れんめい,"liên minh, liên kết"
,加盟,かめい,"vào tổ chức, vào liên minh"
,盟友,めいゆう,"đồng minh, đồng chí"
,盟約,めいやく,hiệp ước
"1364
N2",監,Giám,"Giám sát, coi sóc"
音： かん,監督,かんとく,"đạo diễn, huấn luyện viên,
quản đốc, giám sát viên"
,監視,かんし,"giám sát, Giám thị, quản lý"
,監査,かんさ,"kiểm toán, kiểm tra, tra xét"
,監禁,かんきん,"giam giữ, giam cầm"
,総監,そうかん,"người quản lý chung, tổng quản"
"1365
N2",盤,Bàn,Nền tảng
音： ばん,地盤,じばん,"nền móng, móng nhà, đất nền"
,基盤,きばん,"nền tảng, bảng điện tử, bo mạch"
,円盤,えんばん,vật hình tròn có độ dày
,骨盤,こつばん,xương chậu
,旋盤,せんばん,máy tiện
"1366
N5",目,Mục,Mắt
訓,目,め,con mắt
音： もく、ぼく,目標,もくひょう,"mục tiêu, đích"
,目撃,もくげき,chứng kiến
,目前,もくぜん,trước mắt
,面目,めんぼく,"khuôn mặt, danh dự, thể diện, uy tín"
"1367
N4",直,Trực,Sửa chữa
訓,（を）直す,（を）なおす,sửa chữa
,（が）直る,（が）なおる,được sửa chữa
,直ちに,ただちに,"ngay lập tức, ngay tức thì"
,直に,じきに,"chẳng mấy chốc, chốc lát, sớm"
,直に,じかに,trực tiếp
音： ちょく、じき,直接,ちょくせつ,trực tiếp
,正直,しょうじき,"chính trực, thành thực, ngay thẳng"
"1368
N2",盲,Manh,Mù
訓,盲,めくら,"mù, mù chữ"
音： もう,盲人,もうじん,người mù
,盲目,もうもく,mù
,盲点,もうてん,"điểm mù, Góc khuất"
,色盲,しきもう,mù màu
"1369
N4",県,Huyện,Tỉnh
音： けん,都道府県,とどうふけん,các tỉnh thành phố của Nhật
,県庁,けんちょう,ủy ban tỉnh
,県民,けんみん,người dân sống trong tỉnh
,県道,けんどう,"tỉnh lộ, đường lớn cấp tỉnh"
,県勢,けんせい,"thông tin tổng của dân số,
chính trị văn hóa của tỉnh"
