"1441
N3",稼,Giá,Kiếm sống
訓,（を）稼ぐ,（を）かせぐ,"kiếm tiền, câu giờ"
音： か,稼働,かどう,"hoạt động, vận hành"
,稼業,かぎょう,"việc kinh doanh, làm ăn, buôn bán"
"1442
N2",稽,Kê,Luyện tập
音： けい,稽古,けいこ,"rèn luyện, học tập"
,滑稽,こっけい,"buồn cười, hài, lố lăng"
"1443
N3",積,Tích,Chất đống
訓,（を）積む,（を）つむ,"chất đống, xếp lên, tích lũy"
,（が）積もる,（が）つもる,"tích tụ, tích lũy, chồng chất"
音： せき,面積,めんせき,diện tích
,容積,ようせき,"dung tích, thể tích, sức chứa"
,集積,しゅうせき,"tích trữ, tích lũy"
"1444
N3",穏,Ổn,Yên ổn
訓,穏やか（な）,おだやか（な）,"điềm đạm, bình lặng,
hiền hóa, ôn hòa…"
音： おん,穏健,おんけん,"ôn hòa, điềm tĩnh"
,平穏,へいおん,"bình yên, bình lặng"
,安穏,あんおん,"yên lặng, an yên"
,静穏,せいおん,"tĩnh lặng, bình yên, êm ả"
"1445
N2",穫,Hoạch,Thu hoạch
音： かく,収穫,しゅうかく,"thu hoạch, gặt hái"
"1446
N3",穴,Huyệt,"Lỗ, hang"
訓,穴,あな,"cái lỗ, hang, hốc, hố"
音: けつ,墓穴,ぼけつ,"huyệt mộ, phần mộ"
,洞穴,どうけつ,hang động
,風穴,ふうけつ,"lỗ gió, hang gió"
"1447
N4",究,Cứu,Nghiên cứu
訓,（を）究める,（を）きわめる,"tìm hiểu đến cùng, bồi dưỡng, nâng cao"
音： きゅう,究明,きゅうめい,điều tra làm rõ ràng
,究極,きゅうきょく,"cùng cực, tận cùng, cuối cùng"
,研究,けんきゅう,nghiên cứu
,探究,たんきゅう,"theo đuổi, tìm kiếm, khám phá"
"1448
N5",空,Không,Bầu trời
訓,空,そら,bầu trời
,空,から,trống không
,（が）空く,（が）あく,"mở, trống rỗng, trống vắng"
,（が）空く,（が）すく,"mở, trống rỗng, trống vắng"
音： くう,空席,くうせき,"ghế trống, vị trí còn khuyết"
,空間,くうかん,không gian
"1449
N3",突,Đột,Đột nhiên
訓,（を）突く,（を）つく,"chống đỡ, đâm, chọc, xông vào"
音： とつ,突然,とつぜん,"đột nhiên, đột ngột, bất chợt"
,突入,とつにゅう,"đột nhập, bước vào, xông vào"
,突破,とっぱ,"đột phá, phá vỡ"
,唐突,とうとつ,"đường đột, bất ngờ"
"1450
N2",窃,Thiết,Ăn cắp
音： せつ,窃盗,せっとう,"trộm cắp, kẻ cắp"
,窃取,せっしゅ,"ăn trộm, ăn cắp"
,窃用,せつよう,"sử dụng trái phép, tham ô"
"1451
N4",窓,Song,Cửa sổ
訓,窓,まど,cửa sổ
音： そう,窓外,そうがい,ngoài cửa sổ
,車窓,しゃそう,cửa sổ tàu xe
,鉄窓,てっそう,song sắt nhà tù
,同窓会,どうそうかい,họp lớp
"1452
N2",窒,Trất,Khí Nitơ
音： ちつ,窒素,ちっそ,nitơ
,窒息,ちっそく,"ngạt thở, ngột ngạt"
,窒死,ちっし,chết ngạt
,窒塞,ちっそく,"tắc nghẽn, tắc thở, ngạt thở"
"1453
N2",窟,Quật,Hang động
音： くつ,岩窟,がんくつ,"hang động, hang đá, động đá"
,巣窟,そうくつ,"sào huyệt, nơi ẩn náu"
"1454
N2",窮,Cùng,Cùng cực
訓,（を）窮める,（を）きわめる,"bồi dưỡng, nâng cao, rèn luyện"
,窮まる,きわまる,"cùng cực, điểm chót, rơi vào"
音： きゅう,窮屈,きゅうくつ,"chật, cứng ngắc, gò bó,
chật hẹp, bí bách"
,窮状,きゅうじょう,"khốn cùng, khốn quẫn, khốn khó"
,困窮,こんきゅう,"khốn cùng, túng quẫn, nghèo nàn"
"1455
N2",窯,Diêu,Bếp lò
訓,窯,かま,"bếp lò, lò nung"
音： よう,官窯,かんよう,gốm sứ cung đình
"1456
N5",立,Lập,"Đứng, độc lập"
訓,（を）立てる,（を）たてる,"dựng dậy, gây ra, lập…"
,（に）立つ,（に）たつ,đứng
音： りつ,対立,たいりつ,đối lập
,成立,せいりつ,"thành lập, hình thành"
,立体,りったい,"lập thể, lập phương, hình khối, 3D"
"1457
N3",章,Chương,Đoạn văn
音： しょう,文章,ぶんしょう,"văn chương, câu văn, đoạn văn"
,憲章,けんしょう,hiến chương
,勲章,くんしょう,"huân chương, huy chương"
,受章,じゅしょう,"nhận huân chương, huy chương"
,印章,いんしょう,con dấu
"1458
N3",童,Đồng,Nhi đồng
訓,童,わらべ,"nhi đồng, trẻ con"
音： どう,童顔,どうがん,khuôn mặt trẻ con
,童話,どうわ,truyện cho trẻ con
,童画,どうが,"tranh do trẻ con vẽ,
tranh danh cho trẻ con"
,児童,じどう,"nhi đồng, trẻ con, thiếu nhi"
"1459
N3",端,Đoan,Mép cạnh
訓,端,はし,"bờ, cạch, mép, đầu, ven…"
,端,はた,"bờ, cạch, mép, đầu, ven…"
,中途半端,ちゅうとはんぱ,"nửa vời, nửa chừng, lưng chừng"
音： たん,端午,たんご,tết đoan ngọ
,極端,きょくたん,"cực đoan,
mang tính tiêu cực bất thường"
"1460
N3",競,Cạnh,Cạnh tranh
訓,（を）競う,（を）きそう,"cạnh tranh, ganh đua"
,（を）競る,（を）せる,"ganh đua, cạnh tranh, trả giá,
đấu giá"
音： きょう,競争,きょうそう,"cạnh tranh, ganh đua"
,競技,きょうぎ,"thi đấu, tranh đua"
,競走,きょうそう,chạy đua
146１ N4,竹,Trúc,Tre trúc
訓,竹,たけ,"cây tre, trúc"
音： ちく,竹林,ちくりん,rừng trúc
,破竹,はちく,chẻ tre
146２,,Bộ Trúc,
146３ N5,笑,Tiếu,Cười
,笑う,わらう,cười
音： しょう,微笑,びしょう,"nụ cười, mỉm cười"
,苦笑,くしょう,"cười đau khổ, cười cay đắng"
,爆笑,ばくしょう,"cười vang, cười lớn"
146４ N4,第,Đệ,"Thứ tự, thứ"
音： だい,次第,しだい,"phụ thuộc, tùy thuộc"
,落第,らくだい,"thi trượt, thi rớt"
,登第,とうだい,"thi đậu, thi đỗ"
146５ N2,笛,Địch,Ống sao
訓,笛,ふえ,cây sáo
音： てき,汽笛,きてき,còi hơi
,警笛,けいてき,còi cảnh báo
,吹笛,すいてき,"thổi còi, thổi sáo"
,牧笛,ぼくてき,sáo trẻ chăn gia súc
1466N4,符,Phù,Dấu hiệu
,護符,ごふ,bùa
,切符,きっぷ,vé tàu xe
,音符,おんぷ,nốt nhạc
,引用符,いんようふ,dấu ngoặc kép
訓,（に）答える,（に）こたえる,trả lời
,答え,こたえ,câu trả lời
音： とう,答案,とうあん,đáp án
,回答,かいとう,"hồi đáp, trả lời"
,応答,おうとう,"đáp lại, trả lời"
"1468
N3",等,Đẳng,Bình đẳng
訓,等,など,như là
,等しい,ひとしい,"bằng nhau, tương tự, giống nhau"
音： とう,上等,じょうとう,"cao cấp, thượng hạng, ưu tú"
,均等,きんとう,"cân đối, cân bằng, đồng đều"
,平等,びょうどう,bình đẳng
"1469
N4",筆,Bút,Bút lông
訓,筆,ふで,bút lông
音： ひつ,筆者,ひっしゃ,"bút giả, người viết, tác giả"
,筆記,ひっき,bài viết
,鉛筆,えんぴつ,bút chì
,万年筆,まんねんひつ,"bút máy, bút mực"
"1470
N2",筋,Cân,Bắp thịt
訓,筋,すじ,"cơ bắp, phần sợi của thực vật,
cốt lõi"
音： きん,筋肉,きんにく,cơ bắp
,筋力,きんりょく,sức mạnh cơ bắp
,心筋,しんきん,cơ tim
,腹筋,ふっきん,cơ bụng
音： さく,策定,さくてい,"lập ra, thiết lập (kế hoạch)"
,策略,さくりゃく,"sách lược, chiến lược"
,対策,たいさく,"đối sách, biện pháp"
,政策,せいさく,"chính sách, giải pháp"
,施策,しさく,"chính sách, đối sách"
"1472
N2",筒,Đồng,Ống tròn
訓,筒,つつ,"ống tròn, ống hình trụ"
音： とう,封筒,ふうとう,"bao thư, phong bì"
,水筒,すいとう,bình đựng nước
,円筒,えんとう,hình trụ
,気筒,きとう,xylanh
1473,CÔ GUỘT ƯI TỰ XỬ CHỖ NÀY,,
訓,節,ふし,"đốt, khớp"
音： せつ,節約,せつやく,tiết kiệm
,節水,せっすい,tiết kiệm nước
,節句,せっく,"lễ hội hằng năm, lễ hội theo mùa"
,季節,きせつ,mùa
"1474
N4",算,Toán,Tính toán
音： さん,予算,よさん,"dự toán, ngân sách"
,決算,けっさん,quyết toán
,計算,けいさん,tính toán
,採算,さいさん,"lãi, lợi nhuận"
,暗算,あんざん,tính nhẩm
"1475
N4",管,Quản,"Quản lý, ống"
訓,管,くだ,ống
音： かん,管理,かんり,"quản lý, bảo quản"
,管内,かんない,"trong khu vực quản lý, pháp lý"
,血管,けっかん,"huyết quản, mạch máu"
,保管,ほかん,"bảo quản, giữ gìn, lưu trữ"
"1476
N2",箇,Cá,đv đếm vật
