"８１
N4",伺,Tứ,Thăm hỏi
訓,伺う,うかがう,thăm hỏi
音： し,伺候,しこう,"hầu hạ, phục dịch"
,奉伺,ほうし,hỏi thăm sức khỏe
,,,
,,,
"８２
N3",伸,Thân,Kéo giãn
訓,（を）伸ばす,（を）のばす,duỗi ra
,（が）伸びる,（が）のびる,"mở rộng , lan ra"
音： しん,追伸,ついしん,tái bút
,急伸,きゅうしん,tăng vọt (cổ phiếu)
,続伸,ぞくしん,liên tục lên
"８３
N3",伴,Bạn,Bạn
訓,伴う,ともなう,"duìu dắt, phát sinh"
音： はん、ばん,同伴,どうはん,sự đi cùng với
,伴侶,はんりょ,bầu bạn
,伴奏,ばんそう,đệm nhạc
,伴食,ばんしょく,ăn cùng khách
"８４
N2",佐,Tá,Giúp đỡ
音： さ,左官,さかん,thợ hồ
,補佐,ほさ,trợ lý
,少佐,しょうさ,thiếu tá
,中佐,ちゅうさ,trung tá
,大佐,たいさ,đại tá
"８５
N2",但,Đản,Tuy nhiên
訓,但し,ただし,tuy nhiên
,,,
,,,
,,,
,,,
"８６
N2",伯,Bá,"Chú, bác"
音： はく,伯爵,はくしゃく,bá tước
,伯仲,はくちゅう,sự ngang bằng
,画伯,がはく,họa sĩ
,*伯母,おば,dì
,*伯父,おじ,chú
"８７
N5",使,Sử,Sử dụng
訓,（を）使う,（を）つかう,sử dụng
音： し,使用,しよう,sử dụng
,使命,しめい,sứ mệnh
,天使,てんし,thiên sứ
,大使館,たいしかん,đại sứ quán
"８８
N4",例,Lệ,Ước lệ
訓,例えば,たとえば,ví dụ
,例える,たとえる,liệt kê
音： れい,例外,れいがい,ngoại lệ
,例文,れいぶん,câu mẫu
,比例,ひれい,so sánh
"８９
N5",価,Giá,Giá trị
訓,価,あたい,giá trị
音： か,価値,かち,giá trị
,価格,かかく,giá cả
,物価,ぶっか,vật giá
,評価,ひょうか,đánh giá
"９０
N5",供,Cung,Cung cấp
訓,供える,そなえる,dâng lên
,供,とも,cùng với
音： きょう、く,供給,きょうきゅう,cung cấp
,提供,ていきょう,tài trợ
,供養,くよう,lễ truy điệu
"９１
N3",依,Y,Tùy thuộc vào
音： い、え,依頼,いらい,ỷ lại
,依存,いぞん,sự phụ thuộc
,依然,いぜん,"đã, rồi, như cũ, như thế"
,依願,いがん,thỉnh cầu
,帰依,きえ,quy y
"９２
N2",佳,Giai,"Đẹp, tốt tuyệt vời"
音： か,佳句,かく,đoạn văn hay
,佳作,かさく,tác phẩm đẹp
,佳人,かじん,người đẹp
,佳日,かじつ,"ngày tốt, ngày lành"
,佳境,かきょう,cao trào
"９３
N2",侍,Thị,Võ sĩ
訓,侍,さむらい,võ sĩ đạo
音： じ、し,侍医,じい,thầy thuốc
,侍女,じじょ,người hầu (nữ)
,侍従,じじゅう,viên thị trấn
,内侍,ないし,nữ tỳ (trong cung)
"９４
N2",侮,Vụ,Khinh bỉ
訓,侮る,あなどる,xem thường
音： ぶ,侮言,ぶげん,từ ngữ lăng mạ
,侮蔑,ぶべつ,sự coi thường
,侮辱,ぶじょく,nhục mạ
,軽侮,けいぶ,sự coi thường
"９５
N2",併,Tính,Hợp lại
訓,併せる,あわせる,hợp lại
音： へい,併用,へいよう,sử dụng đồng thời
,併合,へいごう,sự hòa nhập
,併設,へいせつ,sự thành lập
,合併,がっぺい,sát  nhập
"９６
N4",係,Hệ,Quan hệ
訓,係る,かかる,liên quan
,係り,かかり,quan hệ
音： けい,係争,けいそう,sự tranh cãi
,関係,かんけい,quan hệ
,連係,れんけい,liên hệ
"９７
N5",信,Tín,Tin tưởng
訓,信じる,しんじる,tin tưởng
音： しん,信用,しんよう,lòng tin
,信頼,しんらい,tin cậy
,自信,じしん,tự tin
,通信,つうしん,sự truyền tin
"９８
N5",便,Tiện,Tiện lợi
訓,便り,たより,tin tức (thư)
音： べん、びん,便利,べんり,tiện lợi
,便秘,べんぴ,táo bón
,郵便局,ゆうびんきょく,bưu điện
,航空便,こうくうびん,bưu kiện hàng không
"９９
N3",保,Bảo,Bảo đảm
訓,保つ,たもつ,"giữ, bảo vệ, duy trì"
音： ほ,保険,ほけん,bảo hiểm
,保守,ほしゅ,bảo thủ
,保証,ほしょう,bảo đảm
,保護,ほご,bảo hộ
"１００
N2",侵,Xâm,Xâm lược
訓,侵す,おかす,xâm nhập
音： しん,侵入,しんにゅう,xâm nhập
,侵略,しんりゃく,xâm lược
,侵犯,しんぱん,xâm phạm
,侵害,しんがい,xâm hại
"１０１
N2",俗,Tục,Phong tục
音： ぞく,俗語,ぞくご,tiếng lóng
,風俗,ふうぞく,phong tục
,習俗,しゅうぞく,phong tục
,民俗,みんぞく,chủng tộc
,,,
"１０２
N2",促,Xúc,Thúc giục
訓,促す,うながす,thúc giục
音： そく,促進,そくしん,thúc đẩy
,促成,そくせい,thúc đẩy phát triển
,販促,はんそく,khuyến mãi
,,,
"１０３
N2",侯,Hầu,Tước hầu
音： こう,侯国,こうこく,lãnh địa hoàng tộc
,侯爵,こうしゃく,hầu tước
,王侯,おうこう,vương hầu
,諸侯,しょこう,hoàng tử
,藩侯,はんこう,phiên hầu
"１０４
N2",俊,Tuấn,Tài trí
音： しゅん,俊足,しゅんそく,người tài giỏi
,俊傑,しゅんけつ,anh hùng
,俊才,しゅんさい,tài trí
,俊秀,しゅんしゅう,tuấn tú
,英俊,えいしゅん,tài năng
"１０５
N2",侶,Lữ,Tăng lữ
音： りょ,僧侶,そうりょ,tăng lữ
,伴侶,はんりょ,bầu bạn
,,,
,,,
,,,
"１０６
N3",倍,Bội,Gấp mấy lần
音： ばい,二倍,にばい,gấp hai
,倍率,ばいりつ,số lần phóng đại
,倍増,ばいぞう,sự tăng gấp đôi
,倍額,ばいがく,số lượng gấp đôi
,,,
"１０７
N4",候,Hậu,"Khí hậu, thời tiết"
訓,候,そうろう,khí hậu
音： こう,気候,きこう,khí hậu
,時候,じこう,dày dạn
,天候,てんこう,thời tiết
,症候,しょうこう,triệu chứng
"１０８
N5",借,Tá,"Mượn, vay"
訓,借りる,かりる,"mượn, vay"
音： しゃく,借家,しゃくや,thuê nhà
,借用,しゃくよう,vay tiền
,借金,しゃっきん,tiền mượn
,拝借,はいしゃく,mượn
"１０９
N3",倉,Thương,Kho hàng
訓,倉,くら,nhà kho
音： そう,倉庫,そうこ,kho hàng
,船倉,せんそう,"hàng chuyển
bằng thuyền"
,穀倉,こくそう,kho ngũ cốc
,営倉,えいそう,nhà giam
"１１０
N3",個,Cá,Cá nhân
音： こ、か,個人,こじん,cá nhân
,個別,こべつ,cá biệt
,個性,こせい,cá tính
,個体,こたい,cá thể
,個条,かじょう,tiết mục
"１１１
N4",修,Tu,Sửa chữa
訓,修める,おさめる,ôn lại
,修まる,おさまる,tự sửa chữa
音： しゅう、しゅ,研修,けんしゅう,nghiên cứu
,修理,しゅうり,sửa chữa
,修行,しゅぎょう,tu nghiệp
,修業,しゅぎょう,tu nghiệp
"１１２
N2",俵,Biếu,Cái bao
訓,俵,たわら,"túi, bao"
音： ひょう,土俵,どひょう,đấu trường
,一俵,いっぴょう,đầy bao
,,,
"１１３
N4",値,Trị,Giá trị
訓,値下げ,ねさげ,sự bớt giá
,値上げ,ねあげ,giá tăng
,値,あたい,giá trị
音： ち,価値,かち,giá trị
,数値,すうち,giá trị bằng số
"１１４
N3",俳,Bài,Nghệ sỹ
音： はい,俳優,はいゆう,diễn viên
,俳句,はいく,thơ nhật
,俳人,はいじん,nhà thơ
,俳諧,はいかい,thơ hài
,俳壇,はいだん,thế giới người làm thơ
"１１５
N4",倒,Đảo,Ngã đổ
訓,倒す,たおす,làm ngã đổ
,倒れる,たおれる,ngã đổ
音： とう,倒産,とうさん,phá sản
,圧倒,あっとう,áp đảo
,面倒,めんどう,phiền phức
"１１６
N2",倹,Kiệm,Tiết kiệm
音： けん,倹約,けんやく,tiết kiệm
,勤倹,きんけん,cần kiệm
,節倹,せっけん,tiết kiệm
,,,
,,,
"１１７
N2",倣,Phỏng,Bắt chước
訓,倣う,ならう,mô phỏng
音： ほう,模倣,もほう,mô phỏng
,,,
,,,
,,,
"１１８
N2",俸,Bổng,Lương bổng
音： ほう,俸給,ほうきゅう,ngày trả lương
,号俸,ごうほう,bậc lương
,増俸,ぞうほう,tăng lương
,年俸,ねんぽう,lương hàng năm
,減俸,げんぽう,giảm lương
"１１９
N2",倫,Luân,Đạo lý
音： りん,倫理,りんり,đạo nghĩa
,不倫,ふりん,ngoại tình
,比倫,ひりん,phù hợp
,人倫,じんりん,đạo lý làm người
,,,
"１２０
N2",俺,Yêm,Tôi
訓,俺,おれ,tôi
,,,
,,,
,,,
,,,
"１２１
N4",健,Kiện,Khỏe mạnh
訓,健やか,すこやか,khỏe mạnh
音： けん,健康,けんこう,sức khỏe
,健全,けんぜん,khỏe mạnh
,健在,けんざい,tình trạng sức khỏe tốt
,保健,ほけん,bảo vệ sức khỏe
"１２２
N4",側,Trắc,"Phía, bên"
訓,側,かわ,"phía, bên"
,両側,りょうがわ,cả hai bên
音： そく,側面,そくめん,mặt bên
,側壁,そくへき,đứng bên tường
,側近,そっきん,trả tiền mặt
"１２３
N4",停,Đình,"Ngừng, lưu lại"
訓,停める,とめる,dừng
,停まる,とまる,dừng
音： てい,停止,ていし,đình chỉ
,停電,ていでん,cúp điện
,停留所,ていりゅうじょ,bến đổ xe buýt
"１２４
N3",偶,Ngẫu,Ngẫu nhiên
音： ぐう,偶然,ぐうぜん,ngẫu nhiên
,偶数,ぐうすう,số chẳn
,偶発,ぐうはつ,bất ngờ
,偶像,ぐうぞう,thần tượng
,配偶,はいぐう,sự kết hợp
"１２５
N2",偽,Ngụy,Giả mạo
訓,偽物,にせもの,đồ giả
,偽る,いつわる,giả bộ
音： ぎ,偽造,ぎぞう,làm giả
,偽装,ぎそう,ngụy trang
,真偽,しんぎ,đúng và sai
"１２６
N2",偵,Trinh,Trinh thám
音： てい,偵察,ていさつ,trinh sát
,探偵,たんてい,thám tử
,内偵,ないてい,việc điều tra bí mật
,密偵,みってい,mật thám
,,,
"１２７
N2",偏,Thiên,Thiên lệch
訓,偏る,かたよる,nghiêng
音： へん,偏見,へんけん,thành kiến
,偏向,へんこう,xu hướng
,偏差値,へんさち,độ lệch
,偏西風,へんせいふう,gió tây
"１２８
N4",備,Bị,Chuẩn bị
訓,備える,そなえる,chuẩn bị
,備わる,そなわる,có lắp đặt
音： び,準備,じゅんび,chuẩn bị
,設備,せつび,thiết bi
,整備,せいび,điều chỉnh
"１２９
N3",偉,Vĩ,Vĩ đại
訓,偉い,えらい,tài giỏi
音： い,偉大,いだい,vĩ đại
,偉人,いじん,viĩ nhân
,偉業,いぎょう,công việc vĩ đại
,偉容,いよう,uy nghi
"１３０
N2",傍,Bàng,Bên cạnh
訓,傍ら,かたわら,bên cạnh
,傍,そば,bên cạnh
,傍聴,ぼうちょう,việc nghe
音： ぼう,傍観,ぼうかん,thờ ơ
,路傍,ろぼう,lề đường
"１３１
N3",傘,Tản,"Ô, dù"
訓,傘,かさ,cái ô
音： さん,傘下,さんか,"nép bóng, dưới ô"
,落下傘,らっかさん,nhảy dù
,,,
"１３２
N5",働,Động,Làm việc
訓,働く,はたらく,làm việc
音： どう,労働,ろうどう,lao động
,稼働,かどう,vận hành
,実働,じつどう,thực tế làm việc
,,,
"１３３
N4",傷,Thương,Vết thương
訓,傷,きず,vết thương
,傷む,いたむ,bị thương
,傷める,いためる,gây thương tích
音： しょう,負傷,ふしょう,việc bị thương
,損傷,そんしょう,tổn thương
,死傷,ししょう,thương vong
"１３４
N3",傾,Khuynh,Khuynh hướng
訓,傾ける,かたむける,khuynh hướng
,傾く,かたむく,nghiêng
音： けい,傾向,けいこう,khuynh hướng
,傾斜,けいしゃ,dốc nghiêng
,傾倒,けいとう,cống hiến
"１３５
N2",僧,Tăng,Tăng ni
,僧侶,そうりょ,tăng lữ
,僧堂,そうどう,miếu chùa lớn
音： そう,僧院,そういん,chùa
,禅僧,ぜんそう,sư theo phái thiền
,高僧,こうそう,cao tăng
"１３６
N2",催,Thôi,Hối thúc
訓,催す,もよおす,thôi thúc
音： さい,催促,さいそく,thúc giục
,開催,かいさい,tổ chức
,主催,しゅさい,"chủ tọa, đăng cai"
,共催,きょうさい,đồng tổ chức
"１３７
N2",債,Trái,"Công trái, nợ"
音： さい,債務,さいむ,tiền nợ
,債券,さいけん,"trái phiếu, phiếu nợ"
,国債,こくさい,chứng khoán
,負債,ふさい,nợ nần
,,,
"１３８
N2",傑,Kiệt,Kiệt xuất
音： けつ,傑物,けつぶつ,nhân vật kiệt xuất
,傑作,けっさく,kiệt tác
,傑出,けっしゅつ,"kiệt xuất, xuất chúng"
,女傑,じょけつ,nữ anh hùng
,怪傑,かいけつ,người có tài năng lạ
"１３９
N2",僅,Cẩn,Ít ỏi
訓,僅か,わずか,ít ỏi
音： きん,僅差,きんさ,đường tơ kẻ tóc
"１４０
N2",傲,Ngạo,Ngạo mạn
音： ごう,傲慢,ごうまん,lòng tự hào
,傲岸,ごうがん,tiính kiêu kỳ
,,,
"１４１
N3",像,Tượng,Hình tượng
音： ぞう,映像,えいぞう,hình ảnh
,銅像,どうぞう,tượng đồng
,想像,そうぞう,suự tưởng tượng
,彫像,ちょうぞう,bức tượng
,実像,じつぞう,bức tượng
"１４２
N3",僕,Bộc,Tôi (nam xưng)
訓,僕,ぼく,tôi (nam xưng)
音： ぼく,家僕,かぼく,nô bộc
,下僕,げぼく,người hầu
,老僕,ろうぼく,lão nô bộc
,忠僕,ちゅうぼく,người hầu trung thành
"１４３
N3",僚,Liêu,"Bạn, viên chức"
音： りょう,僚友,りょうゆう,đồng nghiệp
,同僚,どうりょう,bạn đồng nghiệp
,官僚,かんりょう,quan liêu
,閣僚,かくりょう,"nội các, chính phủ"
,下僚,かりょう,nhân viên cấp thấp
"１４４
N4",億,Ức,Trăm triệu
音： おく,一億,いちおく,trăm triệu
,巨億,きょおく,hàng triệu
,千億,せんおく,một trăm tỉ
,,,
,,,
"１４５
N3",儀,Nghi,Lễ nghi
音： ぎ,儀式,ぎしき,nghi thức
,儀礼,ぎれい,lễ tiết
,礼儀,れいぎ,lễ nghi
,葬儀,そうぎ,hậu sự
,行儀,ぎょうぎ,cách cư xử
"１４６
N2",儒,Nho,Nho giáo
音： じゅ,儒教,じゅきょう,nho giáo
,儒学,じゅがく,nho học
,儒家,じゅか,người theo đạo khổng
,,,
,,,
"１４７
N4",優,Ưu,Ưu việt
訓,優しい,やさしい,hiền hậu
,優れる,すぐれる,ưu việt
音： ゆう,優先,ゆうせん,ưu tiên
,優勝,ゆうしょう,chiến thắng
,優秀,ゆうしゅう,ưu tú
"１４８
N3",償,Thường,"Bồi thường, đền"
訓,償う,つぐなう,"bồi thường, đền"
音： しょう,賠償,ばいしょう,sự bồi thường
,補償,ほしょう,bù lỗ
,弁償,べんしょう,sự bồi thường
,無償,むしょう,ko bồi thường
"１４９
N2",儲,Trữ,"Kiếm lời, lợi nhuận"
訓,儲ける,もうける,kiếm lời
,儲かる,もうかる,lợi nhuận
"１５０
N5",元,Nguyên,"Căn bản, nguồn"
訓,元,もと,nguồn gốc
音： げん、がん,元気,げんき,khỏe mạnh
,元首,げんしゅ,nguyên thủ
,元日,がんじつ,mùng một tết
,元旦,がんたん,tết tây
,,,
"１５１
N5",兄,Huynh,Anh trai
訓,兄,あに,anh trai
,お兄さん,おにいさん,anh trai người ta
音： けい、きょう,実兄,じっけい,anh ruột
,長兄,ちょうけい,huynh trưởng
,兄弟,きょうだい,anh em
"１５２
N5",先,Tiên,"Trước, tổ tiên"
訓,先,さき,trước đây
,先ず,まず,trước hết
音： せん,先発,せんぱつ,người báo hiệu
,先進,せんしん,tiên tiến
,先輩,せんぱい,đàn anh
"１５３
N4",光,Quang,Ánh sáng
