"1521
N4",給,Cấp,Cung cấp
音： きゅう,給与,きゅうよ,"tiền lương, tiền công"
,給食,きゅうしょく,"suất cơm (ở công ty, trường học)"
,給料,きゅうりょう,tiền lương căn bản
,支給,しきゅう,"hỗ trợ, chu cấp (tiền),
chi trả (lương)"
,供給,きょうきゅう,cung cấp
"1522
N5",結,Kết,Kết quả
訓,（を）結ぶ,（を）むすぶ,"kết, buộc, nối"
,（を）結う,（を）ゆう,"nối, buộc"
,（を）結わえる,（を）ゆわえる,"buộc vào, trói vào"
音： けつ,結論,けつろん,kết luận
,終結,しゅうけつ,"chung kết, kết thúc, xong xuôi"
"1523
N4",絶,Tuyệt,Đoạn tuyệt
訓,（が）絶える,（が）たえる,"dừng, hết, ngưng, mất (liên lạc)"
,（を）絶やす,（を）たやす,"dập (lửa), diệt trừ tận gốc"
,（を）絶つ,（を）たつ,"cắt đứt, tự kết liễu"
音： ぜつ,絶対,ぜったい,tuyệt đối
,断絶,だんぜつ,"đoạn tuyệt, sự ngăn cách"
"1524
N3",統,Thống,Truyền thống
訓,（を）統べる,（を）すべる,"thống trị, giám sát"
音： とう,統合,とうごう,"thống nhất, kết hợp, sát nhập"
,統治,とうち,"thống trị, cai trị, quản trị"
,伝統,でんとう,truyền thống
,大統領,だいとうりょう,"tổng thống, chủ tịch nước"
"1525
N2",紫,Tử,Màu Tím
訓,紫,むらさき,"màu tím, màu tía"
音： し,紫紺,しこん,"màu xanh tím, màu đỏ tía hơi xanh"
,紫煙,しえん,khói thuốc
,紫電,しでん,"chớp đỏ tía, lóe sáng"
,紫外線,しがいせん,"tia tử ngoại, tia cực tím, tia UV"
"1526
N4",絡,Lạc,Liên lạc
訓,（が）絡む,（が）からむ,"cản trở, gặp rắc rối,
dính dáng, liênquan"
,,,
,（が／に）絡まる,（が／に）からまる,"bị liên quan, dính líu,
bị rối (tóc, dây)"
音： らく,連絡,れんらく,"liên lạc, trao đổi thông tin"
,脈絡,みゃくらく,"mạch lạc, sự logic"
,交絡,こうらく,sự quan hệ lẫn nhau
"1527
N3",絞,Giảo,"Bóp, thắt, vắt"
訓,（を）絞める,（を）しめる,"siết chặt, bóp nghẹt"
,（が）絞まる,（が）しまる,nghẹn (họng)
,（を）絞る,（を）しぼる,vắt (quả)
音： こう,絞殺,こうさつ,bóp cổ giết người
,絞首,こうしゅ,"bóp cổ, treo cổ"
"1528
N4",続,Tục,Tiếp tục
訓,（を）続ける,（を）つづける,tiếp tục
,（が）続く,（が）つづく,liên tục
音： ぞく,連続,れんぞく,sự liên tục
,継続,けいぞく,"sự kế tục, sự liên tục"
,持続,じぞく,sự kéo dài
"1529
N2",絹,Quyên,Lụa
訓,絹,きぬ,"lụa, vải lụa"
音： けん,絹布,けんぷ,mảnh vải lụa
,人絹,じんけん,lụa nhân tạo
,本絹,ほんけん,tơ thuần khiết
,正絹,しょうけん,lụa nguyên chất
"1530
N2",継,Kế,Thừa kế
訓,（を）継ぐ,（を）つぐ,"thừa kế, thừa hưởng, đảm nhận"
音： けい,継母,けいぼ,mẹ kế
,継承,けいしょう,"sự kế thừa, sự thừa hưởng"
,後継,こうけい,"người kế vị, người nối nghiệp"
,中継,ちゅうけい,"truyền hình, truyền thanh"
"1531
N4",緑,Lục,Xanh lá cây
訓,緑,みどり,"màu xanh lá cây, cây xanh"
音： りょく、ろく,緑地,りょくち,vùng đất xanh
,緑茶,りょくちゃ,trà xanh
,,,
