"160１
N2",肖,Tiêu,Hình tượng
音： しょう,肖像,しょうぞう,"chân dung, hình tượng, điển hình"
,不肖,ふしょう,thiếu trình độ
"160２
N2",肘,Trửu,Cùi chỏ
訓,肘,ひじ,cùi chỏ
,肘鉄,ひじてつ,"từ chối dứt khoát, cự tuyệt"
,肘枕,ひじまくら,nằm gối đầu lên tay
,肩肘,かたひじ,khuỷu vai
"160３
N4",育,Dục,Giáo dục
訓,（を）育てる,（を）そだてる,"chăm sóc, giáo dục, nuôi"
,（が）育つ,（が）そだつ,lớn lên
,（を）育む,（を）はぐくむ,ấp ủ
音： いく,生育,せいいく,sự lớn lên
,育児,いくじ,chăm sóc trẻ con
"160４
N2",肥,Phì,Béo phì
訓,（を）肥やす,（を）こやす,"làm màu mỡ, vỗ béo (lợn), tham ô"
,（が）肥える,（が）こえる,phát phì
音： ひ,肥料,ひりょう,phân bón
,肥満症,ひまんしょう,chứng béo phì
,肥大,ひだい,"sự mập mạp, béo tốt"
"160５
N3",肩,Kiên,Vai
訓,肩,かた,cái vai
音： けん,肩部,けんぶ,phần vai
,肩章,けんしょう,quân hàm
,比肩,ひけん,"kề vai, sánh kịp"
,強肩,きょうけん,sức quăng (bóng) mạnh
"1606
N2",肪,Phương,Mỡ
音： ぼう,脂肪,しぼう,mỡ
"1607
N3",肯,Khẳng,Khẳng định
音： こう,肯定,こうてい,khẳng định
,首肯,しゅこう,"sự đồng ý, cuối đầu, bằng lòng"
"1608
N2",肢,Chi,Tay chân
音： し,肢体,したい,"chi, bộ phận"
,四肢,しし,tứ chi
,後肢,こうし,"chân sau, chi sau"
,上肢,じょうし,"cánh tay, chi trên"
,選択肢,せんたくし,có chọn lọc
"1609
N2",股,Cổ,"Bẹn, háng"
訓,股,また,"bẹn, háng"
,股,もも,chổ giao nhau
音： こ,股間,こかん,đáy quần
,股関節,こかんせつ,khớp háng
"1610
N4",胃,Vị,Dạ dày
音： い,胃腸,いちょう,dạ dày ruột
,胃炎,いえん,bệnh loét bao tử
,胃痛,いつう,đau dạ dày
,胃病,いびょう,bệnh bao tử
,胃袋,いぶくろ,"bao tử, dạ dày"
"1611
N3",肺,Phế,Lá phổi
音： はい,肺病,はいびょう,bệnh lao phổi
,肺臓,はいぞう,buồng phổi
,肺葉,はいよう,lá phổi
,片肺,かたはい,một bên lá phổi
"1612
N4",背,Bối,Cái lưng
訓,背,せ／せい,cái lưng
,（を）背ける,（を）そむける,quay lưng đi
,（に）背く,（に）そむく,"phản bội, lìa bỏ"
音： はい,背景,はいけい,"bối cảnh, phông nền"
,背後,はいご,"lùi lại,đằng sau"
"1613
N2",胎,Thai,Có thai
音： たい,胎児,たいじ,"bào thai, phôi, mầm"
,胎教,たいきょう,thai kỳ
,受胎,じゅたい,thụ thai
,堕胎,だたい,"phá thai, chết non"
,胎盤,たいばん,nhau thai
"1614
N2",胆,Đảm,Can đảm
音： たん,胆石,たんせき,sỏi mật
,胆汁,たんじゅう,mật
,胆力,たんりょく,sự can đảm
,大胆,だいたん,"sự táo bạn, gan dạ"
,落胆,らくたん,"buồn nản, chán ngán, nhụt chí"
"1615
N2",胞,Bào,Tế bào
音： ほう、ぼう,胞子,ほうし,bào tử (thực vật)
,同胞,どうほう,đồng bào
,液胞,えきほう,"hốc nhỏ, lổ hổng (địa chất)"
,芽胞,がほう,mầm
,細胞,さいぼう,tế bào
"1616
N2",脈,Mạch,Mạch máu
音： みゃく,脈絡,みゃくらく,"sự mạch lạc, logic"
,動脈,どうみゃく,động mạch
,静脈,じょうみゃく,tĩnh mạch
,水脈,すいみゃく,mạch nước
,文脈,ぶんみゃく,"văn cảnh, ngữ cảnh"
"1617
N4",能,Năng,Khả năng
音： のう,能率,のうりつ,"hiệu suất, năng suất"
,能力,のうりょく,năng lực
,性能,せいのう,tính năng
,機能,きのう,"cơ năng, tác dụng"
,可能,かのう,khả năng
"1618
N3",胸,Hung,Ngực
訓,胸,むね,ngực
,胸板,むないた,đấ tranh
音： きょう,胸部,きょうぶ,vùng ngực
,胸中,きょうちゅう,"trong lòng, nỗi niềm, nỗi lòng"
,度胸,どきょう,"sự dũng cảm, liều lĩnh"
"1619
N2",脂,Chi,Mỡ
訓,脂,あぶら,"mỡ, sự khoái trá, thích thú"
音： し,脂質,ししつ,chất béo
,油脂,ゆし,dầu mỡ
,樹脂,じゅし,nhựa cây
