"1761
N5",要,Yếu,Cần thiết
訓,（が）要る,（が）いる,cần thiết
音： よう,要素,ようそ,yếu tố
,要点,ようてん,điểm chính yếu
,要領,ようりょう,"khả năng lĩnh hội, nhạy bén"
,重要,じゅうよう,
"1762
N2",覆,Phúc,Che phủ
訓,（を）覆う,（を）おおう,"bao phủ, che phủ"
,（を）覆す,（を）くつがえす,lật ngược
,（が）覆る,（が）くつがえる,bị lật ngược
音： ふく,覆面,ふくめん,"che mặt, giấu mặt"
,転覆,てんぷく,"bị lật ngược, bị lật đổ"
"1763
N2",覇,Bá,"Tối cao, chi phối"
音： は,覇気,はき,"có chí khí, có tham vọng"
,覇権,はけん,"bá quyền, bá chủ"
,覇者,はしゃ,"bá chủ, người thống lĩnh"
,制覇,せいは,thống trị
,連覇,れんぱ,giành chiến thắng liên tiếp
"1764
N5",見,Kiến,"Nhìn, xem"
訓,（を）見る,（を）みる,"nhìn, xem"
,（を）見せる,（を）みせる,cho xem
,（が）見える,（が）みえる,nhìn thấy
音： けん,見解,けんかい,"cách suy nghĩ, quan điểm"
,会見,かいけん,hội kiến
"1765
N4",規,Quy,Quy tắc
音： き,規則,きそく,quy tắc
,規模,きぼ,quy mô
,規律,きりつ,quy luật
,規定,きてい,quy định
,規約,きやく,quy ước
"1766
N3",視,Thị,Thị giác
,視覚,しかく,thị giác
音： し,視野,しや,tầm nhìn
,視点,してん,quan điểm
,軽視,けいし,xem nhẹ
,重視,じゅうし,xem trọng
"1767
N4",覚,Giác,"Nhớ, cảm giác"
訓,（を）覚える,（を）おぼえる,nhớ
,（を）覚ます,（を）さます,bị đánh thức
,（が）覚める,（が）さめる,tỉnh giấc
音： かく,覚悟,かくご,giác ngộ
,知覚,ちかく,tri giác
"1768
N5",親,Thân,Thân thiết
訓,親,おや,cha mẹ
,親しい,したしい,thân thiết
,親しむ,したしむ,tiếp xúc thân mật
音： しん,親善,しんぜん,thân thiện
,親類,しんるい,"bà con, họ hàng"
"1769
N4",覧,Lãm,Triển lãm
音： らん,展覧会,てんらんかい,buổi triễn lãm
,御覧,ごらん,xem
,遊覧,ゆうらん,du lãm
,総覧,そうらん,nhìn tổng thể
,要覧,ようらん,bản hướng dẫn
"1770
N3",観,Quan,"Quan sát, Nhìn"
音： かん,観光,かんこう,"tham quan, du lịch"
,観測,かんそく,đo đạc các hiện tượng tự nhiên
,観客,かんきゃく,"quan khách, khách tham quan"
,観点,かんてん,quan điểm
,人生観,じんせいかん,quan điểm về đời người
"1771
N4",角,Giác,"Cái góc, sừng"
訓,角,かど,góc
,角,つの,cái sừng
,角度,かくど,giác độ
音： かく,多角,たかく,nhiều góc nhìn
,方角,ほうがく,phương hướng
"1772
N4",解,Giải,Giải quyết
訓,（を）解く,（を）とく,giải bài
,（が）解ける,（が）とける,"bài được giải, băng tuyết tan chảy"
,（を）解かす,（を）とかす,chải tóc
,（を）解く,（を）ほどく,cởi trói
,（が）解ける,（が）ほどける,"dây bị súc ra, tâm trạng giãn ra"
音： かい、げ,和解,わかい,hòa giải
,解毒,げどく,giải độc
"1773
N4",触,Xúc,"Tiếp xúc, chạm vào"
訓,（に）触る,（に）さわる,"sờ vào, đụng vào"
,（に）触れる,（に）ふれる,chạm
音： しょく,接触,せっしょく,tiếp xúc
,感触,かんしょく,cảm xúc
,触覚,しょっかく,xúc giác
"1774
N5",言,Ngôn,Nói
訓,一言,ひとこと,"một lời, câu nói ngắn gọn"
,（と／を）言う,（と／を）いう,"nói, gọi"
音： げん、ごん,宣言,せんげん,tuyên truyền
,証言,しょうげん,lời làm chứng
,無言,むごん,"không lời, im lặng"
"1775
N5",計,Kế,"Đo, kế hoạch"
訓,（を）計る,（を）はかる,"đo thời gian, số lượng"
,（を）計らう,（を）はからう,"tính toán, suy xét"
音： けい,合計,ごうけい,tính tổng
,統計,とうけい,thống kê
,余計,よけい,"dư thừa, không cần thiết"
"1776
N2",訂,Đính,Sửa cho đúng
音： てい,訂正,ていせい,đính chính
,改訂,かいてい,cải đính
,更訂,こうてい,"duyệt lại, sửa lại"
,再訂,さいてい,sửa lại trước khi tái bản
,新訂,しんてい,sửa lại mới
"1777
N2",訃,Phó,Cáo phó
