"1841
N3",譲,Nhượng,Chuyển nhượng
訓,（を）譲る,（を）ゆずる,nhường
音： じょう,譲与,じょうよ,chuyển giao
,分譲,ぶんじょう,"phân lô, phân chia (đất)"
,移譲,いじょう,chuyển nhượng
,割譲,かつじょう,sự nhượng lại
"1842
N3",谷,Cốc,Thung lũng
訓,谷,たに,thung lũng
音： こく,空谷,くうこく,thung lũng hoang
,峡谷,きょうこく,hẻm núi
,幽谷,ゆうこく,"hẻm núi sâu, thung lũng hẹp"
"1843
N5",豆,Đậu,Hạt đậu
訓,豆,まめ,hạt đậu
音： とう、ず,納豆,なっとう,"natto, đậu nành lên men"
,大豆,だいず,đậu nành
"1844
N3",豊,Phong,Phong phú
訓,豊か（な）,ゆたか（な）,phong phú
音： ほう,豊富,ほうふ,"phong phú, giàu có"
,豊作,ほうさく,"được mùa, bội thu"
,豊年,ほうねん,năm được mùa
,豊満,ほうまん,"phong phú, đầy đủ"
1845,豕,Bộ Thỉ,
"1846
N3",豚,Đồn,Con lợn
訓,豚,ぶた,"con lợn, con heo"
音： とん,豚脂,とんし,"mỡ lợn, mỡ heo"
"1847
N4",象,Tượng,"Con voi, ấn tượng"
訓,象,ぞう,con voi
音： しょう,象徴,しょうちょう,tượng trưng
,対象,たいしょう,đối tượng
,現象,げんしょう,hiện tượng
,気象庁,きしょうちょう,cục khí tượng
"1848
N2",豪,Hào,Lộng lẫy
音： ごう,豪華,ごうか,"hào hoa, lộng lẫy"
,豪傑,ごうけつ,hào kiệt
,豪壮,ごうそう,"sa hoa, tráng lệ"
,富豪,ふごう,phú hào
,文豪,ぶんごう,"văn hào, nhà văn lớn"
"1849
N2",貌,Mạo,Dung mạo
音： ぼう,容貌,ようぼう,dung mạo
,変貌,へんぼう,"biến dạng, biến hình"
,風貌,ふうぼう,"tướng mạo, vẻ bên ngoài"
,美貌,びぼう,"sắc đẹp, cái đẹp"
,外貌,がいぼう,bề ngoài
"1850
N5",貝,Bối,"Con sò, ốc"
訓,貝,かい,"con sò, ốc"
,貝殻,かいがら,vỏ sò
音： ばい,貝貨,ばいか,tiền bằng vỏ sò
"1851
N4",負,Phụ,Thua
訓,（に／が）負ける,（に／が）まける,thua
,（を）負かす,（を）まかす,đánh bại
,（を）負う,（を）おう,"gánh vác, vác, mang"
音： ふ、ぶ,負担,ふたん,gánh vác
,勝負,しょうぶ,thắng thua
"1852
N2",貞,Trinh,Trinh tiết
音： てい,貞節,ていせつ,trinh tiết
,貞婦,ていふ,trinh phụ
,貞女,ていじょ,trinh nữ
,貞淑,ていしゅく,hiền thục
,童貞,どうてい,trong trắng
"1853
N5",財,Tài,Tài sản
音： ざい、さい,財産,ざいさん,tài sản
,財政,ざいせい,tài chính
,財閥,ざいばつ,tài phiệt
,文化財,ぶんかざい,tài sản văn hóa
,財布,さいふ,"cái ví, cái bóp"
"1854
N2",貢,Cống,Cống hiến
訓,（に）貢ぐ,（に）みつぐ,cống hiến
音： こう、く,貢献,こうけん,cống hiến
,貢納,こうのう,cống nạp
,貢租,こうそ,cống nộp (tô thuế)
,年貢,ねんぐ,"niên cống, thuế năm"
"1855
N3",貨,Hóa,Hàng hóa
音： か,貨物,かもつ,"hàng, hàng hóa"
,貨幣,かへい,tiền tệ
,銅貨,どうか,tiền xu
,通貨,つうか,lưu thông tiền tệ
,雑貨,ざっか,tạp hóa
"1856
N3",責,Trách,Trách nhiệm
訓,（を）責める,（を）せめる,trách móc
音： せき,責任,せきにん,trách nhiệm
,責務,せきむ,"trách nhiệm, bổn phận"
,引責,いんせき,nhận trách nhiệm
,免責,めんせき,miễn trách nhiệm
"1857
N3",貧,Bần,Nghèo
訓,貧しい,まずしい,nghèo
音： ひん、びん,貧困,ひんこん,nghèo khó
,貧血,ひんけつ,thiếu máu
,貧富,ひんぷ,giàu nghèo
,貧乏,びんぼう,nghèo khổ
"1858
N3",販,Phiến,Buôn bán
音： はん,販売,はんばい,buôn bán
,販路,はんろ,kênh bán hàng
,市販,しはん,tiếp thị
,自販機,じはんき,máy tự bán
,再販,さいはん,bán lại
"1859
N2",貫,Quán,Quán triệt
訓,（を）貫く,（を）つらぬく,quán triệt
音： かん,貫徹,かんてつ,quán triệt
,貫通,かんつう,thâm nhập
