"1921
N5",辞,Từ,Từ chức
訓,（を）辞める,（を）やめる,"từ bỏ, nghỉ"
音： じ,辞書,じしょ,từ điển
,辞退,じたい,"khước từ, từ chối"
,世辞,せじ,"tán dương, ca tụng, tăng bốc, nịnh"
,賛辞,さんじ,lời khen
"1922
N2",辣,Lạt,"Cay, ớt"
音： らつ,辣腕,らつわん,"xử trí khéo léo, tài xử trí"
,辛辣,しんらつ,"gay gắt, gắt"
,悪辣,あくらつ,"gian ác, tà ác"
1923,辰,Bộ Thần,
"1924
N2",辱,Nhục,Xấu hổ
訓,（を）辱める,（を）はずかしめる,"làm xấu hổ, khinh bỉ, sỉ nhục"
音： じょく,恥辱,ちじょく,sự sỉ nhục
,汚辱,おじょく,sự ô nhục
,栄辱,えいじょく,vinh dự và nỗi nhục
,屈辱,くつじょく,"nhục nhã, ô nhục, hổ thẹn"
"1925
N4",農,Nông,Làm ruộng
音： のう,農家,のうか,nông dân
,農地,のうち,"đất làm nông, đất nông nghiệp"
,農業,のうぎょう,nông nghiệp
,農場,のうじょう,"nông trường, trang trại"
,農法,のうほう,phương pháp canh tác
1926,辶,Bộ Sước,
"1927
N4",辺,Biên,Lân cận
訓,辺り,あたり／ほとり,"vùng lân cận, vùng, gần đây"
,浜辺,はまべ,bờ biển
音： へん,底辺,ていへん,"cạnh đáy, đáy"
,近辺,きんぺん,"vùng phụ cận, ở gần"
,右辺,うへん,vế phải
"1928
N4",込,Nhập,Chen chúc
訓,（を）込める,（を）こめる,"dồn, nạp, Bao gồm"
,,,
,（が）込む,（が）こむ,đông đúc
"1929
N2",辻,Tử,"Ngã tư, góc đường"
訓,辻,つじ,ngã tư
"1930
N2",迅,Tấn,Mau lẹ
音： じん,迅速,じんそく,"mau lẹ, nhanh chóng"
,迅雷,じんらい,tiếng sét đánh
,奮迅,ふんじん,lao tới
"1931
N5",近,Cận,Gần
訓,近い,ちかい,gần
,（を）近づける,（を）ちかづける,"kéo lại gần, cho lại gần, kết thân"
,（に／が）近づく,（に／が）ちかづく,"tiến gần, đến gần"
音： きん,近視,きんし,cận thị
,近郊,きんこう,"ngoại ô, ngoại thành"
,接近,せっきん,"tiếp cận, tới gần"
"1932
N5",返,Phản,Trả lại
訓,（を）返す,（を）かえす,trả lại
,（が）返る,（が）かえる,được trả lại
音： へん,返還,へんかん,sự hoàn trả
,返答,へんとう,trả lời
,返信,へんしん,"phản hồi, hồi âm"
"1933
N4",迎,Nghênh,Đón tiếp
訓,（を）迎える,（を）むかえる,đón tiếp
音： げい,迎撃,げいげき,mai phục
,迎春,げいしゅん,đón xuân
,奉迎,ほうげい,"chào mừng, hoan nghênh,
đón tiếp ân cần"
,送迎,そうげい,đưa đón
"1934
N2",述,Thuật,Kể lại
訓,（を）述べる,（を）のべる,"trình bày, nói"
音： じゅつ,記述,きじゅつ,"ghi chép, mô tả, trình bài"
,口述,こうじゅつ,trình bày bằng lời nói
,供述,きょうじゅつ,"lời khai, khẩu cung"
,述懐,じゅっかい,"kể chuyện, tâm sự, hồi tưởng"
"1935
N2",迫,Bách,Thúc bách
訓,（が）迫る,（が）せまる,"đến gần, áp sát"
音： はく,迫害,はくがい,"đàn áp, hăm dọa"
,迫力,はくりょく,"lôi cuốn, quyến rũ"
,圧迫,あっぱく,"áp bức, áp chế, đè nén"
,緊迫,きんぱく,"cấp bách, khẩn trương"
"1936
N2",迭,Điệt,Lần lượt đổi
音： てつ,更迭,こうてつ,thay đổi
"1937
N5",送,Tống,"Tiễn, gửi"
訓,（を）送る,（を）おくる,gửi
音： そう,送金,そうきん,tiền gửi
,送還,そうかん,"hồi hương, cho về nước, trả về nước"
,運送,うんそう,vận chuyển
,郵送,ゆうそう,gửi bưu điện
"1938
N3",追,Truy,Đuổi theo
訓,（を）追う,（を）おう,đuổi theo
音： つい,追加,ついか,thêm vào
,追及,ついきゅう,truy cứu
,追放,ついほう,"đuổi đi, trục xuất"
,追跡,ついせき,truy vết
"1939
N2",逆,Nghịch,Ngược lại
訓,逆に,ぎゃくに,ngược lại
,（に）逆らう,（に）さからう,chống đối
音： ぎゃく,逆転,ぎゃくてん,"xoay ngược, xoay chuyển"
,逆風,ぎゃくふう,gió ngược
,反逆,はんぎゃく,phản nghịch
"1940
N4",退,Thoái,Rút lui
訓,（を）退ける,（を）どける,di dời
,（が）退く,（が）どく,"tránh, né"
,（を）退ける,（を）しりぞける,"đẩy, kéo lùi xuống"
,（が）退く,（が）しりぞく,"lùi lại, lùi xuống"
音： たい,退院,たいいん,"ra viện, xuất viện"
,,,
,退陣,たいじん,"xuất ngũ, nghỉ hưu"
"1941
N3",迷,Mê,Lạc đường
訓,（に）迷う,（に）まよう,"lạc đường, phân vân, lúng túng,
đắn đo, do dự"
音： めい,迷路,めいろ,mê cung
,迷信,めいしん,mê tín
,混迷,こんめい,"u mê, lạc lối"
,*迷子,まいご,trẻ lạc
"1942
N4",逃,Đào,Chạy trốn
訓,（が）逃げる,（が）にげる,"chạy trốn, bỏ trốn"
,（を）逃がす,（を）にがす,"thả, phóng thích, để thoát"
,（が）逃す,（が）のがす,"vuột mất, bỏ lỡ"
,（を）逃れる,（を）のがれる,"trốn chạy, trốn khỏi, trốn tránh"
音： とう,逃亡,とうぼう,"trốn chạy, bỏ chạy, lưu vong"
,逃避,とうひ,"lẩn tránh, né tránh, trốn tránh"
"1943
N5",通,Thông,Đi qua
訓,（を）通す,（を）とおす,"cho đi qua, thông qua"
,（が）通る,（が）とおる,đi qua
,（に）通う,（に）かよう,lui tới
,（が）通じる,（が）つうじる,"hiểu rõ, tinh thông, thông qua"
音： つう,通信,つうしん,"thông tin, truyền tin"
,開通,かいつう,"khai thông, mở ra"
"1944
N5",速,Tốc,Nhanh
訓,速い,はやい,nhanh
,速やか（な）,すみやか（な）,"nhanh chóng, mau lẹ"
,（を）速める,（を）はやめる,"đẩy nhanh, làm nhanh"
音： そく,高速,こうそく,"cao tốc, tốc độ cao"
,時速,じそく,vận tốc trên giờ
"1945
N4",連,Liên,Liên tục
訓,（を）連れる,（を）つれる,"dẫn, dắt"
,（を）連ねる,（を）つらねる,"nối vào, thêm vào"
,（に）連なる,（に）つらなる,"trải dài, hàng dài, liên kết, kết nối"
音： れん,連合,れんごう,"liên hợp, liên minh, liên hiệp"
,,,
,連帯,れんたい,"liên đới, đoàn kết"
"1946
N4",造,Tạo,Chế tạo
訓,（を）造る,（を）つくる,chế tạo
音： ぞう,造反,ぞうはん,"nổi dậy, khởi nghĩa, nổi loạn"
,造成,ぞうせい,"tạo ra, sáng tạo, cải tạo"
,造林,ぞうりん,trồng rừng
,人造,じんぞう,"nhân tạo, con người làm ra"
"1947
N4",途,Đồ,Đường lối
