"2001
N2",酪,Lạc,Bơ sữa
音： らく,酪農,らくのう,sự sản xuất bơ sữa
,乳酪,にゅうらく,bơ sữa
,乾酪,かんらく,pho mát
,酪製品,らくせいひん,sản phẩm chế biến từ bơ sữa
"2002
N2",酸,Toan,Axit
訓,酸い,すい,axit
音： さん,酸化,さんか,sự oxy hóa
,酸素,さんそ,khí oxy
,酸性,さんせい,tính axit
,辛酸,しんさん,sự khó khăn
"2003
N2",酵,Giếu,Lên men
音： こう,酵素,こうそ,men
,酵母,こうぼ,men bia
,発酵,はっこう,lên men
"2004
N2",酷,Khốc,Tàn khốc
訓,酷い,ひどい,"kinh khủng, khủng khiếp"
音： こく,酷使,こくし,"sự lạm dụng, sử dụng quá mức"
,過酷,かこく,"tính nghiêm khắc, sự thô nhám"
,残酷,ざんこく,"nhẫn tâm, khốc liệt"
,冷酷,れいこく,"sự tàn nhẫn, lạnh lùng"
"2005
N2",醒,Tỉnh,Tỉnh rượu
訓,（が）醒める,（が）さめる,"tỉnh táo, tỉnh dậy"
音： せい,醒覚,せいかく,"đánh thức, tỉnh ngộ"
"2006
N2",醜,Xú,"Xấu hổ, xấu xí"
訓,醜い,みにくい,xấu xí
音： しゅう,醜態,しゅうたい,thói xấu thái độ xấu
,醜聞,しゅうぶん,"tiếng xấu, việc xấu"
,醜悪,しゅうあく,"bần tiện, chướng tai gai mắt"
,醜行,しゅうこう,hành vi nhục nhã
"2007
N2",醸,Nhưỡng,Gây rượu
訓,（を）醸す,（を）かもす,"làm lên men, ủ"
音： じょう,醸成,じょうせい,"việc lên men, ủ rượu"
,醸造,じょうぞう,"làm bia , rượu"
"2008
N2",采,"Thái, Thải","Hái, ngắt"
音： さい,喝采,かっさい,"sự hoan hô, tiếng tung hô"
,風采,ふうさい,"sự xuất hiện, vẻ mặt, phong thái"
"2009
N2",釈,Thích,Giải thích
音： しゃく,釈明,しゃくめい,sự thuyết minh
,釈放,しゃくほう,sự phóng thích
,保釈,ほしゃく,bảo lãnh
,希釈,きしゃく,"sự làm loãng, pha loãng"
,講釈,こうしゃく,"sự thuyết minh, thuyết trình"
"2010
N2",里,Lý,"Làng quê, hải lý"
訓,里,さと,"xứ sở, vùng đất"
音： り,里程,りてい,"khoảng đường, khoảng cách"
,里人,りじん,"dân làng, dân nông thôn"
,千里,せんり,"thiên lý, khoảng cách xa"
,海里,かいり,hải lý
"2011
N5",重,Trọng,Nặng
訓,一重,ひとえ,"một lớp, mắt một mí"
,重い,おもい,nặng
,重んじる,おもんじる,"kính trọng, coi trọng"
,（を）重ねる,（を）かさねる,"chồng chất, chồng lên"
,（が）重なる,（が）かさなる,"xếp chồng lên, trùng với"
音： じゅう、ちょう,厳重,げんじゅう,nghiêm trọng
,重複,ちょうふく,sự trùng lặp
"2012
N4",野,Dã,Hoang dã
訓,野,の,cánh đồng
音： や,野球,やきゅう,bóng chày
,野生,やせい,hoang dã
,視野,しや,"tầm mắt, tầm nhìn"
,分野,ぶんや,
"2013
N4",量,Lượng,"Số lượng, cân"
訓,量り,はかり,số luọng
,（を）量る,（を）はかる,cân đo
音： りょう,大量,たいりょう,đại lượng
,数量,すうりょう,số lượng
,測量,そくりょう,sự đo lường
,容量,ようりょう,dung lượng
"2014
N5",金,Kim,"Tiền, vàng"
訓,金,かね／かな,riền
音： きん,金銭,きんせん,"đồng tiển, tiền tệ"
,金魚,きんぎょ,cá vàng
,基金,ききん,ngân quỹ
,現金,げんきん,tiền mặt
"2015
N3",針,Châm,Cây kim
訓,針,はり,cây kim
音： しん,検針,けんしん,kiểm tra đồng hồ
