"2081
N4",陽,Dương,Mặt trời
音：  よう,陽気,ようき,"vui vẻ, lạc quan"
,陽性,ようせい,dương tính
,陽光,ようこう,ánh mặt trời
,太陽,たいよう,mặt trời
,陰陽,いんよう,âm dương
"2082
N2",隊,Đội,Quân đội
音：  たい,隊員,たいいん,bộ đội
,艦隊,かんたい,hạm đội
,入隊,にゅうたい,nhập ngũ
,大隊,だいたい,đại đội
,中隊,ちゅうたい,trung đội
"2083
N2",随,Tùy,Đi theo
音：  ずい,随分,ずいぶん,"khá là, rất, thái độ thái quá"
,随所,ずいしょ,khắp nơi
,随時,ずいじ,"thỉnh thoảng, bất cứ lúc nào"
,随筆,ずいひつ,tùy bút
,随想,ずいそう,hồi ký
"2084
N3",隅,"Ôi, Ngưng","Góc, Xó"
訓,隅,すみ,"xó, góc"
音：  ぐう,一隅,いちぐう,"một góc, một quan điểm"
,南隅,なんぐう,góc phía nam
"2085
N2",隔,Cách,Khoảng cách
訓,（を）隔てる,（を）へだてる,"phân chia, ngăn cách,cách biệt"
,（が）隔たる,（が）へだたる,"cách xa, bị ngăn cách"
音：  かく,隔離,かくり,cách ly
,隔絶,かくぜつ,"cô lập, tách biệt, tách rời"
,間隔,かんかく,khoảng cách
"2086
N2",隙,Khích,Kẽ hở
訓,隙,すき,"khe hở, kẽ hở, sơ hở"
"2087
N4",際,Tế,Giao tiếp
訓,際,きわ,"lúc, khi, dịp, bên cạnh"
音：  さい,際限,さいげん,điểm giới hạn
,国際,こくさい,quốc tế
,交際,こうさい,"giao tiếp, quen nhau"
,実際,じっさい,thực tế
"2088
N4",障,Chướng,"Ngăn, trở"
訓,（に）障る,（に）さわる,"gây cản trở, gây ảnh hưởng xấu"
音：  しょう,障害,しょうがい,"chướng ngại, trở ngại"
,障壁,しょうへき,"rào cản, vách ngăn, chướng ngại"
,支障,ししょう,trở ngại
,保障,ほしょう,"bảo đảm, đảm bảo"
"2089
N3",隠,Ẩn,Che giấu
訓,（を）隠す,（を）かくす,che giấu
,（が）隠れる,（が）かくれる,"chị che khuất, ẩn núp, ẩn mình"
音：  いん、おん,隠居,いんきょ,ẩn cư
,隠匿,いんとく,"che đậy, che giấu"
,隠密,おんみつ,"bí mật làm, do thám"
"2090
N4",隣,Lân,Bên cạnh
訓,隣,となり,bên cạnh
,隣る,となる,"tiếp giáp, bên cạnh nhau"
音：  りん,隣接,りんせつ,"lân cận, tiếp giáp"
,隣席,りんせき,chỗ ngồi kế bên
,近隣,きんりん,lân cận
"2091
N2",隷,lệ,"lệ thuộc, nô lệ"
音：  れい,隷下,れいか,"thuộc hạ, thủ hạ, cấp dưới"
,隷属,れいぞく,lệ thuộc
,隷従,れいじゅう,"lệ thuộc, phục tùng người khác"
,奴隷,どれい,nô lệ
2092,隹,Bộ Chuy,
"2093
N2",隻,Chích,Đơn vị đến tàu thuyền
音：  せき,数隻,すうせき,vài con thuyền
,隻句,せっく,cụm từ
,隻語,せきご,câu nói ngắn
,隻手,せきしゅ,một cánh tay
,隻眼,せきがん,"độc nhãn, một mắt"
"2094
N4",集,Tập,Tập hợp
訓,（を）集める,（を）あつめる,"tập hợp lại, gom lại"
,（が）集まる,（が）あつまる,"hội tụ lại, tập trung lại"
,（に）集う,（に）つどう,"tập hợp, tập trung ( con người)"
音：  しゅう,集会,しゅうかい,"họp mặt, buổi họp mặt"
,召集,しょうしゅう,triệu tập
"2095
N2",雄,Hùng,Giống đực
訓,雄,おす／す,giống đực
音：  ゆう,雄大,ゆうだい,"hùng vĩ, to lớn"
,雄弁,ゆうべん,hùng biện
,雄姿,ゆうし,dáng vẻ oai hùng
,雄壮,ゆうそう,hùng tráng
"2096
N3",雇,Cố,Thuê mướn
訓,（を）雇う,（を）やとう,thuê mướn
音：  こ,雇用,こよう,tuyển dụng
,雇員,こいん,nhân viên hợp đồng
,解雇,かいこ,"sa thải, chấm dứt hợp đồng"
"2097
N2",雅,Nhã,Thanh lịch
音：  が,雅号,がごう,bút danh
,雅趣,がしゅ,thanh lịch
,優雅,ゆうが,"thanh lịch, tao nhã"
,典雅,てんが,quý phái
,風雅,ふうが,"thanh tao, cao thượng"
"2098
N5",雑,Tạp,Phức tạp
音：  ざつ、ぞう,雑草,ざっそう,cỏ dại
,雑談,ざつだん,nói chuyện phiếm
,雑音,ざつおん,tạp âm
,煩雑,はんざつ,phiền toái
,雑木林,ぞうきばやし,"rừng cây nhỏ, rừng cây thưa"
"2099
N2",雌,Thư,Giống cái
訓,雌,めす／め,giống cái
音：  し,雌雄,しゆう,"giống đực và giống cái, thư hùng"
,雌伏,しふく,đợi thời cơ
,雌性,しせい,mang tính thuộc giống cái
"2100
N5",難,Nan,Khó khăn
訓,難しい,むずかしい,khó khăn
,難い,かたい,khó
音：  なん,難民,なんみん,"dân lánh nạn, dân tị nạn"
,難色,なんしょく,"không tán đồng, vẻ mặt chê trách"
,非難,ひなん,"phê phán, chê trách"
210１ N4,離,Ly,Rời xa
訓,（を）離す,（を）はなす,"chia rẽ, buông ra, rời khỏi ghế"
,（が）離れる,（が）はなれる,"rời xa, cách xa, rời khỏi chức vụ"
音：  り,離婚,りこん,ly hôn
,離脱,りだつ,"ly khai, tách rời, xa lìa"
,分離,ぶんり,"tách ra, chia"
210２ N5,雨,Vũ,Mưa
訓,雨,あめ,trời mưa
,雨戸,あまど,cửa chớp
音：  う,雨量,うりょう,lượng mưa
,雨天,うてん,"thời tiết mưa, ngày mưa"
,風雨,ふうう,mưa gió
210３ N5,雪,Tuyết,Tuyết
訓,雪,ゆき,tuyết
音：  せつ,白雪,はくせつ,tuyết trắng
,降雪,こうせつ,tuyết rơi
,風雪,ふうせつ,"gió tuyết, sự khổ cực"
,*雪崩,なだれ,hiện tượng lở tuyết
210４ N4,雲,Vân,Mây
訓,雲,くも,đám mây
音：  うん,暗雲,あんうん,"mây đen, sự u ám"
,青雲,せいうん,"trời xanh, hoài bão lớn"
210５ N3,雰,Phân,Bầu không khí
音：  ふん,雰囲気,ふんいき,bầu không khí
"2106
N5",電,Điện,Điện
音：  でん,電力,でんりょく,năng lượng điện
"2107
N3",雷,Lôi,Sấm sét
訓,雷,かみなり,sấm sét
音：  らい,雷雨,らいう,mưa đi kèm với sấm sét
,雷管,らいかん,kíp nổ
,,,
,地雷,じらい,"địa lôi, mìn"
,天雷,てんらい,sấm
"2108
N2",零,Linh,Số không
訓,（を）零す,（を）こぼす,"làm đổ, rơi nước mắt"
,（が）零れる,（が）こぼれる,"bị đổ, trào ra"
音：  れい,零時,れいじ,o giờ
,零下,れいか,dưới không độ
,零細,れいさい,số lượng và quy mô nhỏ
"2109
N2",需,Nhu,Nhu cầu
音：  じゅ,需品,じゅひん,nhu yếu phẩm
,需給,じゅきゅう,"cung cầu, nhu cầu và cung cấp"
,必需,ひつじゅ,cần thiết
,実需,じつじゅ,nhu cầu thực tế
,特需,とくじゅ,nhu cầu đặc biệt
"2110
N4",震,Chấn,Run sợ
訓,（が）震える,（が）ふるえる,"run, rung lắc"
,（が）震う,（が）ふるう,rung lắc nhẹ
音：  しん,震源,しんげん,tâm chấn
,震度,しんど,độ rung chuyển
,余震,よしん,dư chấn
211１ N2,霊,Linh,Linh hồn
訓,霊,れい,linh hồn
,霊園,れいえん,nghĩa trang
,霊感,れいかん,linh cảm
,心霊,しんれい,tâm linh
211２ N2,霜,Sương,Hạt sương
訓,霜,しも,sương muối
音：  そう,霜雪,そうせつ,tuyết sương
,降霜,こうそう,sương muối rơi
,除霜,じょそう,"phòng ngừa, loại trừ sương muối"
,星霜,せいそう,năm tháng
211３ N2,霧,Vụ,Sương mù
訓,霧,きり,sương mù
音：  む,霧散,むさん,"tiêu tan, biến mất"
,霧中,むちゅう,trong sương mù
,氷霧,ひょうむ,sương băng
,煙霧,えんむ,sương khói
211４ N2,露,Lộ,Phơi bày
訓,露,つゆ,sương
音：  ろ、ろう,露骨,ろこつ,để lộ ra ngoài
,露店,ろてん,quầy bán hàng trên vỉa hè
,吐露,とろ,"thổ lộ, bày tỏ"
,披露宴,ひろうえん,tiệc cưới
211５ N5,青,Thanh,Màu xanh
訓,青い,あおい,màu xanh
音：  せい、しょう,青春,せいしゅん,thanh xuân
,青銅,せいどう,đồng thiếc
,緑青,ろくしょう,màu xanh gỉ đồng
,HÌNH NHƯ CÓ CHỮ GÌ Ở ĐÂY ĐÓ CÔ ƯI,,
訓,静か（な）,しずか（な）,"yên tĩnh, khẽ, ít nói, yên bình"
,（を）静める,（を）しずめる,"làm cho yên tĩnh, điềm tĩnh lại"
,（が）静まる,（が）しずまる,"trở nên yên tĩnh, điềm tĩnh lại"
音：  せい、じょう,安静,あんせい,"yên tĩnh, tĩnh lặng"
,静脈,じょうみゃく,tĩnh mạch
"2117
N4",非,Phi,Không
音：  ひ,是非,ぜひ,"đúng sai, nhất định"
,非常に,ひじょうに,rất
,非公開,ひこうかい,không công khai
,非常識,ひじょうしき,không có thường thức
,非公式,ひこうしき,"không chính thức, cá nhân"
"2118
N4",面,Diện,Bề mặt
訓,面白い,おもしろい,"thú vị, vui tính, hấp dẫn"
音：  めん,（に）面する,（に）めんする,"tiếp giáp, men theo"
,外面,そとづら,vẻ niềm nở bên ngoài
,画面,がめん,màn hình
,局面,きょくめん,"cục diện, tình hình lúc đó"
訓,革,かわ,da thuộc
音：  かく,革命,かくめい,cách mạng
,革新,かくしん,cách tân
,改革,かいかく,cải cách
,変革,へんかく,"biến cách, làm thay đổi"
"2120
N3",靴,Ngoa,Giày
訓,靴,くつ,đôi giày
音：  か,製靴,せいか,chế tạo giày
,軍靴,ぐんか,giày quân đội
,長靴,ちょうか,đôi ủng
212１ N3,韓,Hàn,Hàn quốc
音：  かん,韓国,かんこく,hàn quốc
,日韓,にっかん,nhật bản và hàn quốc
,日中韓,にっちゅうかん,nhật bản trung quốc hàn quốc
212２ N5,音,Âm,Âm thanh
訓,音,おと,tiếng động
,音色,ねいろ,âm sắc
音：  おん、いん,騒音,そうおん,tiếng ồn
,母音,ぼいん,nguyên âm
,*観音,かんのん,quan thế âm bồ tát
212３ N2,韻,Vần,Vần thơ
音：  いん,韻律,いんりつ,âm luật
,韻文,いんぶん,văn vần
,余韻,よいん,"âm vang, dư âm"
,押韻,おういん,"gieo vần, ghép vần"
,頭韻,とういん,lặp lại âm đầu
212４ N3,響,Hưởng,Ảnh hưởng
訓,（が）響く,（が）ひびく,vang vọng
音：  きょう,影響,えいきょう,ảnh hưởng
,反響,はんきょう,"vang lại, phản hồi"
212５,♛,Bộ Hiệt,
"2126
N3",頂,Đỉnh,Đỉnh cao
訓,（を）頂く,（を）いただく,nhận
音：  ちょう,頂点,ちょうてん,điểm cao nhất
,頂上,ちょうじょう,trên đỉnh
,登頂,とうちょう,leo lê đỉnh núi
,絶頂,ぜっちょう,"đỉnh núi, nơi cao nhất"
2127N3,頃,Khoảnh,Khoảnh khắc
,,,
"2128
N3",順,Thuận,Thứ tự
音：  じゅん,順調,じゅんちょう,thuận lợi
,順序,じゅんじょ,"theo trật tự, theo từng bước"
,順守,じゅんしゅ,tuân thủ
,不順,ふじゅん,"không thuận lợi, không bình thường"
,打順,だじゅん,thứ tự đánh bóng
"2129
N2",項,Hạng,Hạng mục
音：  こう,項目,こうもく,"hạng mục, tiêu đề nhỏ"
,条項,じょうこう,"điều mục, phần nhỏ trong văn bản"
,事項,じこう,"điều, điểm lưu ý"
,要項,ようこう,hạng mục cần thiết
,各項,かくこう,các hạng mục
"2130
N2",須,Tu,"Cần, nên"
音：  す,必須,ひっす,điều cần thiết
,呉須,ごす,chất tạo màu
213１ N4,預,Dự,"Gửi, giữ"
訓,（を）預ける,（を）あずける,"giao đồ, giao con cho ai đó giữ"
,（を）預かる,（を）あずかる,"giữ đồ, giữ con của ai"
音：  よ,預金,よきん,tiền gửi tiết kiệm
,預託,よたく,tạm thời giao đồ cho ai đó giữ
,預貸率,よたいりつ,tỷ lệ cho vay trên tiền gửi
213２ N4,頑,Ngoan,Bướng bỉnh
,頑張る,がんばる,cố gắng
,頑固,がんこ,ngoan cố
,頑丈,がんじょう,"ngoan trường, bền, dẻo dai"
,頑健,がんけん,"cơ thể khỏe mạnh, dẻo dai"
213３ N2,頒,Ban,"Chia, phát"
音：  はん,頒布,はんぷ,phân phối rộng rãi
,頒価,はんか,giá phân phối
,頒行,はんこう,"ban hành, công bố rộng rãi"
213４ N2,頓,Đốn,Chỉnh đốn
音：  とん,頓死,とんし,"đột tử, chiếu bí (cờ tướng)"
,頓馬,とんま,"ngớ ngẩn, khờ khạo, lệch tông"
,頓知,とんち,nhanh trí
,整頓,せいとん,chỉnh đốn
,停頓,ていとん,đình trệ
"213５
N3",領,"Lãnh, Lĩnh",Thống lãnh
音：  りょう,領土,りょうど,lãnh thổ
,領有,りょうゆう,sở hữu về lãnh thổ
,領収書,りょうしゅうしょ,biên nhận đã thanh toán tiền
,占領,せんりょう,chiếm lĩnh
,綱領,こうりょう,cương lĩnh
"2136
N5",頭,Đầu,Cái đầu
訓,頭,あたま,đầu
音：  とう、ず,頭,かしら,"phần đầu, người cầm đầu"
,先頭,せんとう,"phần đầu tiên, dẫn đầu, tiên phong"
,街頭,がいとう,đường phố
"2137
N3",頼,Lại,"Nhờ vả, tin cậy"
訓,頼もしい,たのもしい,"đáng tin cậy, có thể kỳ vọng"
,（を）頼む,（を）たのむ,nhờ vả
,（に／を）頼る,（に／を）たよる,"dựa vào, phụ thuộc vào, nhờ vào"
音：  らい,依頼,いらい,"nhờ cậy, yêu cầu"
,無頼,ぶらい,"không nhờ cậy được, sống vô phép tắc"
"2138
N2",頬,Giáp,Gò má
訓,頬,ほお／ほほ,gò má
音：  きょう,頬筋,きょうきん,cơ gò má
,頬側,きょうそく,một bên má
"2139
N2",頻,Tần,"Luôn, thường"
音：  ひん,頻度,ひんど,mức độ thường xuyên
,頻数,ひんすう,tần số
,頻繁,ひんぱん,thường xuyên
,頻発,ひんぱつ,xảy ra nhiều lần
"2140
N5",顔,Nhan,Khuôn mặt
訓,顔,かお,khuôn mặt
音：  がん,顔面,がんめん,phần mặt
,顔料,がんりょう,chất tạo màu dùng để trang điểm…
,美顔,びがん,"gương mặt đẹp, làm đẹp gương mặt"
,厚顔,こうがん,"mặt dày, không biết mắc cỡ, trơ trẽn"
214１ N5,題,Đề,Vấn đề
音：  だい,題名,だいめい,tiêu đề
,問題,もんだい,vấn đề
,主題,しゅだい,"nội dung chính, chủ đề"
,副題,ふくだい,"nội dung phụ, vấn đề phụ"
,表題,ひょうだい,tựa đề
214２ N4,類,Loại,Chủng loại
訓,類,たぐい,cùng một loại
音：  るい,人類,じんるい,nhân loại
,書類,しょるい,giấy tờ
,親類,しんるい,"bà con, họ hàng"
,分類,ぶんるい,phân loại
214３ N4,額,Ngạch,Kim ngạch
訓,額,ひたい,cái trán
音：  がく,金額,きんがく,"kim ngạch, số tiền"
,総額,そうがく,tổng số tiền
,半額,はんがく,"nửa số tiền, nửa giá"
,減額,げんがく,"giảm số tiền, giảm số lượng"
214４ N2,顕,Hiển,"Rõ ràng, vẻ vang"
音：  けん,顕著,けんちょ,"rất nổi bật, rất rõ ràng"
,顕彰,けんしょう,biểu dương
,顕在,けんざい,"tồn tại rõ ràng, thấy rõ"
214５ N2,顎,Ngạc,Cái cằm
訓,顎,あご,cái cằm
音：  がく,上顎,じょうがく,cằm trên
,下顎,かがく,cằm dưới
,顎関節,がくかんせつ,quai hàm
"2146
N4",願,Nguyện,"Xin, cầu nguyện"
訓,（を）願う,（を）ねがう,"xin, cầu nguyện"
"2147
N2",顧,Cố,Nhìn lại
訓,（を）顧みる,（を）かえりみる,"nhớ lại, nhìn lại, hồi tưởng lại"
音：  こ,顧客,こきゃく,khách hàng
,顧問,こもん,cố vấn
,顧慮,こりょ,"suy nghĩ, cân nhắc"
,回顧,かいこ,"hồi tưởng, ngoảnh lại"
"2148
N5",風,Phong,Gió
訓,風,かぜ／かざ,gió
音：  ふう、ふ,扇風機,せんぷうき,quạt máy
,風景,ふうけい,phong cảnh
,風潮,ふうちょう,"phong trào, khuynh hướng"
,風呂,ふろ,phòng tắm bồn
"2149
N4",飛,Phi,Bay
訓,（を）飛ばす,（を）とばす,"thổi bay, thả bay"
,（を／が）飛ぶ,（を／が）とぶ,bay
音：  ひ,飛躍,ひやく,"bước nhảy vọt, phát triển vượt bậc"
,飛散,ひさん,bay tung tóe
,飛行場,ひこうじょう,phi trường
"2150
N5",食,Thực,Ăn
訓,（を）食べる,（を）たべる,ăn
,（を）食う,（を）くう,"ăn, sống, lấn"
音：  しょく、じき,食事,しょくじ,bữa cơm
,食品,しょくひん,thực phẩm
,断食,だんじき,"nhịn ăn, kiêng ăn"
215１ N2,飢,Cơ,Đói khát
訓,（に）飢える,（に）うえる,"đói, thèm khát, suy yếu đi"
,飢餓,きが,"đói khát, suy dinh dưỡng"
,飢渇,きかつ,đói khát
,飢寒,きかん,đói lạnh
215２ N5,飲,Ẩm,Uống
訓,（を）飲む,（を）のむ,"uống, húp"
音：  いん,飲料,いんりょう,đồ uống
,飲酒,いんしゅ,uống rượu
,,,
,飲用,いんよう,uống
,痛飲,つういん,"uống quá nhiều, nghiện rượu"
215３ N5,飯,Phạn,Cơm
訓,飯,めし,cơm
音：  はん,御飯,ごはん,cơm
,米飯,べいはん,cơm gạo
,朝飯,あさはん,cơm sáng
,夕飯,ゆうはん,cơm tối
215４ N3,飼,Tự,Nuôi động vật
訓,（を）飼う,（を）かう,nuôi
音：  し,飼育,しいく,nuôi dưỡng thú cưng
,飼料,しりょう,thực phẩm cho động vật
,飼養,しよう,chăn nuôi
215５ N4,飾,Sức,Trang trí
訓,（を）飾る,（を）かざる,trang trí
音：  しょく,修飾,しゅうしょく,"bổ nghĩa, làm cho rõ nghĩa"
,装飾,そうしょく,trang trí
,服飾,ふくしょく,trang phục truyền thống
,宝飾,ほうしょく,"đồ trang sức bằng đá quý, vàng"
訓,（を）飽かす,（を）あかす,"làm cho no, sử dụng thoải mái"
,（に）飽きる,（に）あきる,"ngán, chán"
音：  ほう,飽食,ほうしょく,"ăn no, no ấm"
,飽満,ほうまん,ăn no
,飽和,ほうわ,"bão hòa, không thể tăng hơn nữa"
"2157
N3",養,Dưỡng,Nuôi dưỡng
訓,（を）養う,（を）やしなう,"nuôi dưỡng, dưỡng dục"
音：  よう,養成,ようせい,đào tạo
,養殖,ようしょく,nuôi trồng thủy sản
,保養,ほよう,duy trì sức khỏe
,療養,りょうよう,"điều trị, nghỉ dưỡng"
"2158
N2",餓,Ngạ,Đói
音：  が,飢餓,きが,đói
,餓死,がし,chết đói
,餓鬼,がき,"kẻ háu ăn, quỷ đói"
訓,餌,えさ／え,đồ ăn cho động vật
"2160
N3",餅,Bính,Bánh
訓,餅,もち,bánh dày
音：  へい,画餅,がへい（がべい）,"bánh dày vẽ thành tranh, không có ích"
,月餅,げっぺい,bánh trung thu
,血餅,けっぺい,máu đông thành cục
