"216１
N5",館,Quán,Tòa nhà
音： かん,館長,かんちょう,"giám sát viên, giám đốc"
,館員,かんいん,"nhân viên, nhân sự"
,会館,かいかん,"hội quán, trung tâm"
,新館,しんかん,tòa nhà mới xây
,図書館,としょかん,thư viện
"216２
N4",首,Thủ,Cái cổ
訓,首,くび,cái cổ
音： しゅ,首班,しゅはん,"thủ tướng, lãnh đạo"
,首尾,しゅび,"đầu đuôi, quá trình"
,元首,げんしゅ,nguyên thủ quốc gia
,自首,じしゅ,"tự khai, tự thú"
"216３
N3",香,Hương,Hương thơm
訓,香り,かおり,hương thơm
,香る,かおる,tỏa hương thơm
音： こう,香水,こうすい,nước hoa
,薫香,くんこう,Hương thơm thoang thoảng
,香辛料,こうしんりょう,"gia vị, hương liệu"
"216４
N5",馬,Mã,Con ngựa
訓,馬,うま,con ngựa
音： ば,馬車,ばしゃ,xe ngựa
,馬券,ばけん,vé cá cược (đua ngựa)
,競馬,けいば,đua ngựa
,白馬,はくば,bạch mã
"216５
N5",駅,Dịch,Nhà ga
訓,駅,えき,nhà ga
,駅前,えきまえ,trước nhà ga
,駅長,えきちょう,trưởng ga
,駅員,えきいん,nhân viên nhà ga
,発駅,はつえき,ga đi
"2166
N3",駆,Khu,Chạy mau tới
訓,駆ける,かける,chạy nhanh
,,,
,（を）駆る,（を）かる,đánh xe
音： く,駆使,くし,sử dụng thành thạo
,駆除,くじょ,"tiêu diệt, hủy diệt"
,先駆,せんく,tiên phong
"2167
N3",駄,Đà,Phẩm chất xấu
音： だ,駄作,ださく,tác phẩm tồi
,駄賃,だちん,tiền vận chuyển
,無駄,むだ,"lãng phí, vô ích"
,駄目,だめ,không được
,足駄,あしだ,guốc gỗ cao
"2168
N4",駐,Trú,"Dừng, ở lại"
音： ちゅう,駐車,ちゅうしゃ,đậu xe
,駐在,ちゅうざい,tạm trú
,駐屯,ちゅうとん,doanh trại
,移駐,いちゅう,di trú
,進駐,しんちゅう,chiếm đóng
"2169
N2",駒,Câu,Ngựa con
訓,駒,こま,ngựa con
"2170
N5",験,Nghiệm,Thử nghiệm
音： けん,実験,じっけん,thí nghiệm
,試験,しけん,"bài kiểm tra, kỳ thi"
,体験,たいけん,trải nghiệm
,経験,けいけん,kinh nghiệm
,治験,ちけん,thử nghiệm lâm sàng
"217１
N4",騒,Tao,Làm ồn
訓,騒がしい,さわがしい,"ồn ào, ầm ĩ"
,（が）騒ぐ,（が）さわぐ,náo loạn
音： そう,騒々しい,そうぞうしい,"ồn ào, ầm ĩ"
,騒動,そうどう,"náo động, náo loạn"
,物騒,ぶっそう,nguy hiểm
"217２
N2",騎,Kỵ,Cưỡi ngựa
,騎士,きし,kỵ sĩ
音： き,騎兵,きへい,kỵ binh
,騎手,きしゅ,nài ngựa
,騎乗,きじょう,cưỡi ngựa
,騎馬,きば,cưỡi ngựa
"217３
N2",騰,Đằng,Tăng giá
音： とう,騰貴,とうき,tăng giá
,騰勢,とうせい,khuynh hướng đi lên
,高騰,こうとう,tăng vọt
,暴騰,ぼうとう,tăng đột ngột
,騰,きゅうとう,nhảy vọt
"217４
N3",驚,Kinh,Kinh ngạc
訓,（を）驚かす,（を）おどろかす,gây ngạc nhiên
,（に）驚く,（に）おどろく,ngạc nhiên
音： きょう,驚喜,きょうき,niềm vui bất ngờ
,驚異,きょうい,điều kỳ diệu
,喫驚,きっきょう,ngạc nhiên
"217５
N3",骨,Cốt,Xương
訓,骨,ほね,xương
音： こつ,骨格,こっかく,cốt cách
,骨子,こっし,mấu chốt
,遺骨,いこつ,tro cốt
,白骨,はっこつ,"xương trắng, bộ xương"
"2176
N2",骸,Hài,Cài cốt
音： がい,骸骨,がいこつ,hài cốt
,形骸,けいがい,tàn tích
,死骸,しがい,xác chết
,遺骸,いがい,di hài
,残骸,ざんがい,mảnh vỡ
"2177
N2",髄,Tủy,Xương tủy
音： ずい,骨髄,こつずい,tủy sống
,心髄,しんずい,cốt lõi
,精髄,せいずい,phần chính
,脳髄,のうずい,não
,歯髄,しずい,tủy răng
"2178
N5",高,Cao,"Cao, đắt"
訓,高い,たかい,"cao, đắt"
,（を）高める,（を）たかめる,nâng cao
,（が）高まる,（が）たかまる,được nâng cao
音： こう,高度,こうど,cao độ
,高価,こうか,mắc tiền
"2179
N4",髪,Phát,Tóc
訓,髪,かみ,tóc
音： はつ,長髪,ちょうはつ,tóc dài
,毛髪,もうはつ,mái tóc
,金髪,きんぱつ,tóc vàng
,*白髪,しらが,tóc bạc
"2180
N2",鬱,Uất,U uất
