"１61
N5",内,Nội,Bên trong
訓,内,うち,bên trong
音： ない、だい,内容,ないよう,nội dung
,家内,かない,vợ
,案内,あんない,hướng dẫn
,境内,けいだい,bên trong đền chùa
"１62
N5",全,Toàn,Toàn bộ
訓,全て,すべて,toàn bộ
,全く,まったく,hoàn toàn
音： ぜん,全国,ぜんこく,cà nước
,全員,ぜんいん,tất cả thành viên
,完全,かんぜん,hoàn toàn
"１63
N5",八,Bát,Tám
訓,八つ,やっつ,số tám
,八日,ようか,ngày tám
,八百屋,やおや,tiệm rau
音： はち,八時,はちじ,tám giờ
,八歳,はっさい,tám tuổi
"１64
N5",公,Công,Công cộng
訓,公,おおやけ,công cộng
音： こう,公園,こうえん,công viên
,公演,こうえん,công diễn
,公式,こうしき,công thức
,公衆,こうしゅう,công chúng
"１65
N5",六,Lục,Sáu
訓,六つ,むっつ,số sáu
,六日,むいか,ngày sáu
音： ろく,六年,ろくねん,6 năm
,六角,ろっかく,lục giác
,第六,だいろく,thứ 6
"１66
N3",共,Cộng,Cùng nhau
訓,共,とも,cùng
音： きょう,共和,きょうわ,cộng hòa
,共同,きょうどう,cộng đồng
,共通,きょうつう,"phổ thông, điểm chung"
,公共,こうきょう,công cộng
"１67
N2",兵,Binh,Người lính
音： へい、ひょう,兵士,へいし,binh sĩ
,兵器,へいき,binh khí
,兵力,へいりょく,binh lực
,派兵,はへい,phái quân đến
,兵法,ひょうほう,binh pháp
"１68
N5",具,Cụ,Dụng cụ
音： ぐ,具体,ぐたい,cụ thể
,具合,ぐあい,trạng thái
,道具,どうぐ,dụng cụ
,家具,かぐ,đồ gỗ gia đình
,器具,きぐ,"đồ đạc, dụng cụ"
"１69
N3",典,Điển,Từ điển
音： てん,典型,てんけい,điển hình
,辞典,じてん,từ điển
,古典,こてん,cổ điển
,特典,とくてん,ưu đãi đặc biệt
,儀典,ぎてん,nghi lễ
"１70
N2",兼,Kiêm,Kiêm nhiệm
訓,兼ねる,かねる,"gồm có, kiêm nhiệm"
音： けん,兼務,けんむ,kết hợp 2 nhiệm vụ
,兼用,けんよう,sự kết hộp
,兼業,けんぎょう,nghề thứ 2
,兼職,けんしょく,kiêm chức
"１71
N5",円,Viên,"Tiền Nhật, tròn"
訓,円,まる,"tiền Nhật, tròn"
音： えん,円満,えんまん,"viên mãn, trọn vẹn"
,円形,えんけい,hình tròn
,円筒,えんとう,hình trụ
,半円,はんえん,nữa vòng tròn
"１72
N4",冊,Sách,Đơn vị đếm quyển
音： さつ,何冊,なんさつ,bao nhiêu quyển
,分冊,ぶんさつ,"quyển, tập"
,短冊,たんざく,mảnh giấy nhỏ
,別冊,べっさつ,tập riêng
,冊子,さっし,cuốn sách nhỏ
"１73
N3",再,Tái,Lại lần nữa
訓,再び,ふたたび,lại lần nữa
音： さい、さ,再建,さいけん,xây dựng lại
,再生,さいせい,sống lại
,再開,さいかい,bắt đầu lại
,再来週,さらいしゅう,tuần tới nữa
１74,冖,Bộ mịch,
,,,
"１75
N4",冗,Nhũng,Lộn xộn
音： じょう,冗語,じょうご,rườm rà
,冗談,じょうだん,nói đùa
,冗舌,じょうぜつ,tính nói nhiều
,冗漫,じょうまん,nhàm chán
,冗長,じょうちょう,"dư thừa, dài dòng"
