"２４１
N5",動,Động,Di chuyển
訓,動かす,うごかす,di chuyển
,動く,うごく,làm chuyển động
音： どう,動作,どうさ,động tác
,移動,いどう,sự di chuyển
,活動,かつどう,hoạt động
"２４２
N5",務,Vụ,Nghĩa vụ
訓,務める,つとめる,"làm việc, tốn sức"
音： む,義務,ぎむ,nghĩa vụ
,勤務,きんむ,"cần việc, công việc"
,公務員,こうむいん,công chức
"２４３
N2",勘,Khám,"Dò xét, giác quan thứ 6"
音： かん,勘気,かんき,sự ghét bỏ
,勘案,かんあん,bình đựng rượu
,勘弁,かんべん,sự khoan dung
,勘当,かんどう,"từ con, giận dỗi"
,勘定,かんじょう,sự tính toán
"２４４
N4",勝,Thắng,Chiến thắng
訓,勝つ,かつ,chiến thắng
,勝る,まさる,vượt trội hơn
音： しょう,勝利,しょうり,thắng lợi
,勝敗,しょうはい,thắng hay bại
,決勝,けっしょう,quyết thắng
"２４５
N4",勤,Cần,Chuyên cần
訓,勤める,つとめる,làm việc
,勤まる,つとまる,gánh vác
音： きん,勤労,きんろう,sự lao động
,通勤,つうきん,sự đi làm
,転勤,てんきん,chuyển công tác
"２４６
N3",募,Mộ,Chiêu mộ
訓,募る,つのる,chiêu mộ
音： ぼ,募集,ぼしゅう,tuyển mộ
,募金,ぼきん,quyên tiền
,応募,おうぼ,"đăng ký, ứng tuyển"
,公募,こうぼ,"tuyển dụng, thu hút"
"２４７
N4",勢,Thế,Thế lực
訓,勢い,いきおい,diễn biến
音： せい,勢力,せいりょく,thể lực
,姿勢,しせい,tư thế
,情勢,じょうせい,tình thế
,大勢,おおぜい,đám đông
"２４８
N3",勧,Khuyến,Khuyến khích
訓,勧める,すすめる,"khuyên, gợi ý"
音： かん,勧告,かんこく,khuyến cáo
,勧学,かんがく,động viên học
,勧誘,かんゆう,khuyên bảo
,勧奨,かんしょう,khuyến khích
"２４９
N2",勲,Huân,Công trạng
音： くん,勲記,くんき,"văn thư, bằng cấp"
,勲章,くんしょう,huân chương
,偉勲,いくん,thành công vĩ đại
,殊勲,しゅくん,hành động
２５０,勹,Bộ bao,
"２５１
N2",勾,Câu,Cong
音： こう,勾配,こうばい,"độ dốc, nghiêng"
,勾引,こういん,bắt giữ
,勾留,こうりゅう,giam giữ
,,,
"２５２
N3",匂,Mùi,Mùi
訓,匂い,におい,mùi
,匂う,におう,cảm thấy mùi
"２５３
N4",包,Bao,Bao bọc
訓,包む,つつむ,"choàng, bao bọc"
,包む,くるむ,"gói, giấu giếm"
音： ほう,包囲,ほうい,sự bao vây
,包帯,ほうたい,băng bó
,包装,ほうそう,bao bì
２５４,匕,Bộ trủy,
"２５５
N5",化,Hóa,Biến hóa
訓,化かす,ばかす,làm mê hoặc
,化ける,ばける,hút hồn
音： か,化学,かがく,hóa học
,変化,へんか,biến hóa
,強化,きょうか,cường hóa
"２５６
N5",北,Bắc,Phía Bắc
訓,北,きた,phía Bắc
音： ほく,東北,とうほく,đông bắc
,北部,ほくぶ,bắc bộ
,北極,ほっきょく,bắc cực
,北海道,ほっかいどう,tên địa danh
２５７,匚,Bộ hệ,
"２５８
N2",匠,Tượng,Thợ
音： しょう,意匠,いしょう,"ý tưởng , ý tứ"
,師匠,ししょう,sư phụ
,巨匠,きょしょう,giáo sư
,名匠,めいしょう,nghệ nhân
,工匠,こうしょう,thợ thủ công
"２５９
N5",区,Khu,"Quận, vùng"
音： く,地区,ちく,"quận, khu vực"
,区域,くいき,khu vực
,区別,くべつ,sự phân biệt
,区内,くない,trong khu vực
,区長,くちょう,khu trưởng
"２６０
N4",匹,Thất,Đơn vị đếm con
訓,一匹,いっぴき,1 con
,二匹,にひき,2 con
,三匹,さんびき,3 con
音： ひつ,匹夫,ひっぷ,người quê mùa
,匹敵,ひってき,đuổi kịp
"２６１
N5",医,Y,Y học
音: い,医師,いし,bác sĩ
,医科,いか,y khoa
,医学,いがく,y học
,医療,いりょう,sự chữa trị
,獣医,じゅうい,thú y
"２６２
N2",匿,Nặc,Nặc danh
音： とく,匿名,とくめい,nặc danh
,秘匿,ひとく,"đánh đập, trốn tránh"
,隠匿,いんとく,"ẩn trốn, che đầy"
,,,
,,,
"２６３
N5",十,Thập,Mười
訓,十,とお,số mười
音： じゅう,十分,じゅうぶん,đủ
,十字路,じゅうじろ,ngã tư
,*二十日,はつか,ngày 20
,*二十歳,はたち,20 tuổi
"２６４
N5",千,Thiên,Một lít
訓,千葉,ちば,tên địa danh
音： せん,千円札,せんえんさつ,tờ 1000 yên
,千里,せんり,"thiên lý, xa"
,三千,さんぜん,3000
,八千,はっせん,8000
"２６５
N2",升,Thăng,1.8 lít
訓,升,ます,đơn vị đo
音： しょう,一升,いっしょう,một tháng (trung bình)
,,,
,,,
,,,
"２６６
N5",午,Ngọ,12 giờ trưa
音： ご,午前,ごぜん,buổi sáng
,午後,ごご,buổi chiều
,午睡,ごすい,giấc ngủ trưa
,正午,しょうご,"buổi trưa, giữa ngày"
,端午,たんご,tết đoan ngọ
"２６７
N5",半,Bán,Một nửa
訓,半ば,なかば,giữa
音： はん,半分,はんぶん,một nữa
,半島,はんとう,bán đảo
,半額,はんがく,nửa giá
,半月,はんつき,nữa tháng
"２６８
N5",卒,Tốt,Tốt nghiệp
音： そつ,卒業,そつぎょう,tốt nghiệp
,卒倒,そっとう,bất tỉnh
,兵卒,へいそつ,"binh tốt, chiến sĩ"
,学卒,がくそつ,người đã tốt nghiệp
,脳卒中,のうそっちゅう,đứt mạch máu
"２６９
N3",卓,Trác,Cái bàn
音： たく,卓上,たくじょう,để bàn
,卓球,たっきゅう,bóng bàn
,電卓,でんたく,máy tính
,食卓,しょくたく,bàn ăn
,教卓,きょうたく,bàn giáo viên
"２７０
N2",卑,Ty,Thấp hèn
訓,卑しい,いやしい,ti tiện
,卑しめる,いやしめる,khinh miệt
,卑しむ,いやしむ,coi thường
音： ひ,卑下,ひげ,khiêm tốn
,卑怯,ひきょう,bần tiện
"２７１
N3",協,Hiệp,Hiệp lực
音： きょう,妥協,だきょう,thỏa hiệp
,協議,きょうぎ,hiệp nghị
,協定,きょうてい,hiệp định
,協約,きょうやく,hiệp ước
,協調,きょうちょう,hiệp lực
"２７２
N5",南,Nam,Phía Nam
訓,南,みなみ,phía nam
音： なん,南部,なんぶ,nam bộ
,南米,なんべい,nam mỹ
,南極,なんきょく,nam cực
,西南,せいなん,hướng tây nam
"２７３
N3",博,Bác,Uyên bác
音： はく,賭博,とばく,đánh bạc
,博士,はくし,thạc sĩ
,博愛,はくあい,lòng bác ái
,博物館,はくぶつかん,viện bảo tàng
,博覧会,はくらんかい,hội chợ triễn lãm
"２７４
N4",占,Chiếm,"Chiếm lĩnh, bói"
訓,占う,うらなう,"chiêm nghiệm, tiên đoán"
,占める,しめる,bao gồm
音： せん,占拠,せんきょ,chiếm lấy
,占領,せんりょう,chiếm giữ
,独占,どくせん,độc chiếm
２７５,卩,Bộ tiết,
"２７６
N4",印,Ấn,In ấn
訓,印,しるし,dấu hiệu
音： いん,印象,いんしょう,ấn tượng
,印鑑,いんかん,con dấu
,刻印,こくいん,chạm khắc
,調印,ちょういん,ký kết
,,,
,,,
"２７７
N5",危,Nguy,Nguy hiểm
訓,危ない,あぶない,sự phân biệt
