"３２１
N3",叫,Khiếu,Thét lên
訓,叫ぶ,さけぶ,"gào, thét lên"
音： きょう,叫喚,きょうかん,"la hét, hét lên"
,絶叫,ぜっきょう,tiếng thét
,,,
"３２２
N3",吐,Thổ,Nôn mửa
訓,吐く,はく,nôn mửa
音： と,吐露,とろ,"thổ lộ, bày tỏ"
,吐息,といき,"hơi thở, thở dài"
,吐血,とけつ,thổ huyết
,吐出,としゅつ,"thải, phun"
"３２３
N2",吉,"Cát, Kiết",Tốt lành
訓,吉,よし,"may mắn, tốt lành"
音： きつ、きち,不吉,ふきつ,"không may, bất hạnh"
,吉報,きっぽう,tin vui
,吉兆,きっちょう,"điềm lành, may mắn"
,大吉,だいきち,đại cát
"３２４
N2",吏,Lại,"Quan, viên chức"
音： り,官吏,かんり,quan chức
,能吏,のうり,người có quyền lực
,刑吏,けいり,đao phủ
,公吏,こうり,"viên chức, công chức"
,捕吏,ほり,"cảnh sát, công an"
"３２５
N4",君,Quân,Em
訓,君,きみ,em
音： くん,君子,くんし,người quân tử
,君主,くんしゅ,quân chủ
,君臨,くんりん,"trị vì, cai quản"
,夫君,ふくん,phu quân
"３２６
N4",告,Cáo,Báo cáo
訓,告げる,つげる,thông báo
音： こく,告知,こくち,thông báo
,告白,こくはく,"thổ lộ, tỏ tình"
,広告,こうこく,quảng cáo
,報告,ほうこく,báo cáo
"３２７
N3",否,Phủ,Phủ định
訓,否,いな,phủ định
音： ひ,否定,ひてい,phủ định
,否決,ひけつ,phủ quyết
,否運,ひうん,"rủi ro, không may"
,拒否,きょひ,từ chối
"３２８
N3",含,Hàm,Bao gồm
訓,含める,ふくめる,bao gồm
,含む,ふくむ,bao gồm
音： がん,含有,がんゆう,"chứa đựng, bao hàm"
,含蓄,がんちく,xúc tích
,包含,ほうがん,"bao hàm, bao gồm"
"３２９
N4",吹,Xúy,Thổi
訓,吹く,ふく,thổi
音： すい,吹笛,すいてき,thổi sáo
,鼓吹,こすい,"cổ vũ, cổ động"
,*吹雪,ふぶき,bão tuyết
"３３０
N2",吟,Ngâm,Ngâm thơ
音： ぎん,吟味,ぎんみ,xem xét kỹ càng
,吟詠,ぎんえい,ngâm thơ
,独吟,どくぎん,ngâm thơ một mình
,愛吟,あいぎん,yêu thích thơ ca
,詩吟,しぎん,ngâm thơ
"３３１
N2",呉,Ngô,Nước Ngô
音： ご,呉服,ごふく,trang phục cổ của Nhật
,呉越,ごえつ,Ngô Việt
,,,
"３３２
N2",呈,Trình,Trình lên
音： てい,呈示,ていじ,triển lãm
,露呈,ろてい,"phơi bày, lộ ra"
,進呈,しんてい,"biếu, tặng, tích (điểm)"
,謹呈,きんてい,"kính tặng, kính biếu"
,奉呈,ほうてい,"hiến dâng, biểu diễn"
"３３３
N3",呂,"Lã, Lữ",Nhà tắm
音： ろ,呂律,ろりつ,đọc rõ ràng
,風呂,ふろ,bồn tắm
,語呂,ごろ,từ đồng âm
"３３４
N3",吠,Phệ,Sủa
訓,吠える,ほえる,sủa
,,,
"３３５
N5",味,Vị,Mùi vị
訓,味,あじ,mùi vị
,味わう,あじわう,"nếm, thưởng thức"
音： み,意味,いみ,ý nghĩa
,興味,きょうみ,hứng thú
,調味料,ちょうみりょう,đồ gia vị
"３３６
N4",命,Mệnh,Sinh mệnh
訓,命,いのち,sinh mệnh
音： めい、みょう,革命,かくめい,cuộc cách mạng
,生命,せいめい,"sinh mệnh, tính mạng"
,運命,うんめい,"vận mệnh, định mệnh"
,寿命,じゅみょう,tuổi thọ
"３３７
N4",和,Hòa,Hòa bình
訓,和やか,なごやか,thân mật
,和む,なごむ,"điềm tĩnh, thư thái"
,和らげる,やわらげる,làm nguôi đi
,和らぐ,やわらぐ,giảm bớt
音： わ,和室,わしつ,phòng kiểu Nhật
,飽和,ほうわ,bão hòa
"３３８
N4",周,Chu,Chung quanh
訓,周り,まわり,chung quanh
音： しゅう,周囲,しゅうい,chung quanh
,周期,しゅうき,chu kỳ
,周辺,しゅうへん,vùng xung quanh
,一周,いっしゅう,một vòng
"３３９
N5",呼,Hô,Gọi
訓,呼ぶ,よぶ,gọi
音： こ,呼応,こおう,hưởng ứng
,呼吸,こきゅう,hô hấp
,連呼,れんこ,gọi nhiều lần
,歓呼,かんこ,tung hô
"３４０
N2",呪,Chú,Lời nguyền
訓,呪う,のろう,lời nguyền
,呪い,のろい,lời nguyền rủa
音： じゅ,呪符,じゅふ,bùa chú
,呪文,じゅもん,câu thần chú
,呪術,じゅじゅつ,"ma thuật, thần chú"
"３４１
N5",品,Phẩm,Sản phẩm
訓,品,しな,sản phẩm
音： ひん,品質,ひんしつ,chất lượng
,作品,さくひん,tác phẩm
,製品,せいひん,sản phẩm
,商品,しょうひん,hàng hóa
"３４２
N4",咲,Tiếu,Nở hoa
訓,咲く,さく,nở hoa
,,とろ,
"３４３
N2",哀,Ai,Thương hại
訓,哀れ,あわれ,đáng thương
,哀れむ,あわれむ,thương cảm
音： あい,哀悼,あいとう,lời chia buồn
,哀感,あいかん,cảnh đoạn trường
,悲哀,ひあい,phiền muộn
"３４４
N2",咽,Yết,Cổ họng
音： いん,咽喉,いんこう,cổ họng
,咽頭,いんとう,cuống họng
,,,
"３４５
N2",咳,Khái,Ho
訓,咳,せき,ho
音： がい,労咳,ろうがい,bệnh lao phổi
,,,
"３４６
N5",員,Viên,Nhân viên
音： いん,議員,ぎいん,đại biểu quốc hội
,店員,てんいん,nhân viên bán hàng
,会員,かいいん,hội viên
,職員,しょくいん,nhân viên
,従業員,じゅうぎょういん,người lao động
"３４７
N2",唐,Đường,Nhà Đường
訓,唐,から,nhà Đường
音： とう,唐突,とうとつ,"đường đột, bất ngờ"
,,,
"３４８
N2",哲,Triết,Triết học
音： てつ,哲理,てつり,triết lý
,哲学,てつがく,triết học
,哲人,てつじん,nhà thông thái
,先哲,せんてつ,triết gia cổ đại
,変哲,へんてつ,"bất thường, khác lạ"
"３４９
N2",唆,Toa,Xúi giục
訓,唆す,そそのかす,xúi giục
音： さ,示唆,しさ,"đề xuất, gợi ý"
,教唆,きょうさ,chủ mưu
,,,
"３５０
N2",唇,Thần,Đôi môi
訓,唇,くちびる,đôi môi
音： しん,唇音,しんおん,âm môi
,下唇,かしん,môi dưới
,上唇,じょうしん,môi trên
,口唇,こうしん,môi
"３５１
N2",唄,Bái,Bài hát
訓,唄,うた,bài hát
,,,
"３５２
N2",哺,Bộ,Nuôi dưỡng
音： ほ,哺育,ほいく,nuôi dưỡng và dạy dỗ
,哺乳類,ほにゅうるい,động vật có vú
,反哺,はんぽ,báo ơn
,,,
"３５３
N3",商,Thương,Buôn bán
訓,商う,あきなう,"kinh doanh, buôn bán"
音： しょう,商売,しょうばい,buôn bán
,商店,しょうてん,cửa hàng buôn bán
,商業,しょうぎょう,thương mại
,通商,つうしょう,thông thương
"３５４
N5",問,Vấn,"Hỏi, vấn đề"
訓,問う,とう,hỏi
,問い,とい,câu hỏi
,問屋,とんや,hãng buôn bán
音： もん,質問,しつもん,"câu hỏi, chất vấn"
,訪問,ほうもん,thăm hỏi
