"４０１
N4",埋,Mai,Chôn lấp
訓,埋める,うめる,"chôn, lấp, mai táng"
,埋まる,うまる,"được chôn cất, bị lắp đậy"
,埋もれる,うもれる,"bị chôn giấu, bị bao phủ, vùi"
音： まい,埋蔵,まいぞう,"sự chôn giấu, sự chứa ẩn"
,埋伏,まいふく,mai phục
,埋没,まいぼつ,bị chôn vùi
"４０２
N5",堂,Đường,Nhà lớn
音： どう,食堂,しょくどう,"nhà ăn, bếp ăn"
,講堂,こうどう,giảng đường
,会堂,かいどう,nhà thờ
,殿堂,でんどう,"lâu đài, tòa nhà nguy nga"
,聖堂,せいどう,thánh đường
"４０３
N3",基,Cơ,Văn bản
訓,基づく,もとづく,"căn cứ vào, do"
音： き,基地,きち,"căn cứ địa, địa bàn, móng"
,基本,きほん,"cơ bản, cơ sở"
,基盤,きばん,"nền móng, cơ sở"
,基準,きじゅん,"tiêu chuẩn, quy chuẩn"
"４０４
N3",域,Vực,"Vùng, miền"
音： いき,域外,いきがい,bên ngoài vùng
,空域,くういき,"vùng trời, không phận"
,海域,かいいき,vùng biển
,全域,ぜんいき,"toàn bộ khu vực, cả vùng"
,流域,りゅういき,lưu vực
"４０５
N2",執,Chấp,Chấp hành
訓,執る,とる,"cầm lấy, đảm nhiệm, dẫn đầu"
音： しつ、しゅう,執行,しっこう,sự chấp hành
,執筆,しっぴつ,"việc viết văn, chấp bút"
,執念,しゅうねん,"sự gàn dở, sự cố chấp"
,執心,しゅうしん,sự mê muội
"４０６
N2",培,Bồi,Trau dồi
訓,培う,つちかう,"bồi dưỡng, vun xới, trau dồi"
音： ばい,培地,ばいち,môi trường nuôi cấy
,培養,ばいよう,"sự bồi dưỡng, sự nuôi cấy"
,栽培,さいばい,sự trồng trọt
,,,
"４０７
N2",堀,Quật,Hào nước
訓,堀,ほり,"hào (vây quanh thành trì), con kênh, mương"
,,,
"４０８
N2",埼,Kỳ,Bờ cong
音： さい,埼玉,さいたま,tỉnh Saitama (Nhật Bản)
,,,
"４０９
N2",堆,Đôi,"Đắp, đóng"
音： たい,堆肥,たいひ,"bón phân, phân trộn hữu cơ"
,堆積,たいせき,"chồng chất, tích tụ"
,堆石,たいせき,đá băng tích
,,,
"４１０
N5",場,Trường,"Chỗ, nơi chốn"
訓,場合,ばあい,"trường hợp, tình huống"
音： じょう,会場,かいじょう,hội trường
,登場,とうじょう,"lối vào, ra (sân khấu)"
,運動場,うんどうじょう,sân vận động
,入場料,にゅうじょうりょう,phí vào cửa
"４１１
N4",報,Báo,Tin tức
訓,報いる,むくいる,"thưởng, báo đáp, đền đáp"
音： ほう,報道,ほうどう,"sự thông báo, tin tức"
,速報,そくほう,"tin nóng, thông báo khẩn"
,日報,にっぽう,báo hàng ngày
,情報,じょうほう,"thông tin, tin tức, tình báo"
"４１２
N2",堅,Kiên,Cứng rắn
訓,堅い,かたい,"cứng, vững vàng"
音： けん,堅固,けんご,"sự cứng rắn, sự kiên định"
,堅持,けんじ,kiên trì
,堅実,けんじつ,"thiết thực, chắc chắn"
,中堅,ちゅうけん,người có vị trí trụ cột
"４１３
N2",堤,Đê,Bờ đê
訓,堤,つつみ,bờ đê
音： てい,堤防,ていぼう,"đê điều, đập"
,突堤,とってい,đê chắn sóng
,墨堤,ぼくてい,hai bờ đê của dòng sông Sumida
,築堤,ちくてい,"đê, đắp bờ, đường đắp cao"
"４１４
N2",塔,Tháp,Ngọn tháp
音： とう,鉄塔,てっとう,tháp sắt
,仏塔,ぶっとう,chùa
,宝塔,ほうとう,bảo tháp
,堂塔,どうとう,miếu
,電波塔,でんぱとう,tháp đài
"４１５
N2",堪,Kham,Cam chịu
訓,堪える,こらえる,"cam chịu, nhẫn nhịn"
,堪える,たえる,"cam chịu, nhẫn nhục"
音： かん、たん,不堪,ふかん,không thể chịu đựng được
,堪忍,かんにん,"sự dễ dàng khoan dung, sự nhẫn nại"
,堪能,たんのう,"thông thạo, thưởng thức, trải nghiệm"
"４１６
N2",堕,Đọa,"Rơi, sa xuống"
音： だ,堕落,だらく,"thoái hóa, trụy lạc"
,堕罪,だざい,sự vấp ngã của con người
,堕胎,だたい,sự sẩy thai
,,,
,,,
"４１７
N2",塚,Trủng,"Mô đất, mồ mả"
訓,塚,つか,"ụ, mô đất, đống"
,,,
,,,
"４１８
N2",塀,Biên,Tường rào
音： べい,土塀,どべい,tường bằng đất
,板塀,いたべい,"hàng rào, lan can tàu"
,石塀,いしべい,tường bằng đá
,,,
,,,
"４１９
N2",塁,Lũy,Thành lũy
音： るい,二塁,にるい,"góc gôn thứ hai (trong môn bóng chày), hai lớp thành lũy"
,満塁,まんるい,sự lấp đầy bốn góc (trong môn bóng chày)
,盗塁,とうるい,ăn trộm
,本塁,ほんるい,"cơ sở, pháo đài chính, nhà bọc"
,堅塁,けんるい,"pháo đài, đồn lũy, thành trì"
"４２０
N4",塩,Diêm,Muối
訓,塩,しお,muối
音： えん,塩素,えんそ,chất Clo
,塩分,えんぶん,lượng muối
,塩田,えんでん,"đồng muối, ruộng muối"
,食塩,しょくえん,muối ăn
"４２１
N3",墓,Mộ,Ngôi mộ
訓,墓,はか,ngôi mộ
音： ぼ,墓地,ぼち,nghĩa địa
,墓石,ぼせき,"bia mộ, bia đá"
,墓穴,ぼけつ,"huyệt, mồ, mả"
,墓標,ぼひょう,bia mộ
