"４８１
N2",委,Ủy,Ủy thác
訓,委ねる,ゆだねる,"giao phó, ủy thác"
音： い,委員,いいん,"ủy viên, thành viên"
,委託,いたく,sự ủy thác
,委任,いにん,sự ủy quyền
,委譲,いじょう,"sự nhường lại, sự chuyển giao quyền lực"
"４８２
N5",始,Thủy,Bắt đầu
訓,（を）始める,（を）はじめる,bắt đầu
,（が）始まる,（が）はじまる,bắt đầu
音： し,始業,しぎょう,sự bắt đầu làm việc
,原始,げんし,"ban sơ, sơ khai, nguyên thủy"
,開始,かいし,"việc bắt đầu, sự khởi đầu"
,終始,しゅうし,từ đầu đến cuối
"４８３
N4",妻,Thê,Vợ
訓,妻,つま,vợ
音： さい,妻帯,さいたい,sự kết hôn
,妻子,さいし,vợ con
,夫妻,ふさい,vợ chồng
,愛妻,あいさい,vợ yêu
"４８４
N2",姓,Tính,Họ (dòng họ)
音： せい、しょう,姓名,せいめい,họ và tên
,同姓,どうせい,cùng họ
,本姓,ほんせい,họ gốc (họ thật)
,改姓,かいせい,việc đổi họ
,百姓,ひゃくしょう,"người nông dân, trăm họ"
"４８５
N2",妬,Đố,Đố kỵ
訓,妬む,ねたむ,"ấm ức, ghen tị"
音： と,妬心,としん,"sự ghen, sự ghen ghét"
,嫉妬,しっと,lòng ghen tị
"４８６
N3",姿,Tư,Dáng vẻ
訓,姿,すがた,bóng dáng
音： し,姿勢,しせい,"tư thế, điệu bộ, dáng điệu, thái độ"
,姿態,したい,"phong thái, hình dáng"
,容姿,ようし,"vẻ bề ngoài, diện mạo, phong thái"
,風姿,ふうし,"phong thái, tác phong"
"４８７
N2",威,Uy,Quyền uy
音： い,威力,いりょく,"uy lực, sức mạnh, uy thế"
,威信,いしん,uy tín
,威勢,いせい,"uy thế, thế lực"
,威圧,いあつ,sự ép buộc
,脅威,きょうい,"sự uy hiếp, mối đe dọa, mối nguy hiểm"
"４８８
N2",姻,Nhân,Hôn nhân
音： いん,姻族,いんぞく,bố mẹ vợ/chồng
,姻戚,いんせき,thông gia
,婚姻,こんいん,việc cưới xin
,,,
,,,
"４８９
N5",娘,Nương,"Con gái, nàng"
訓,娘,むすめ,con gái (mình)
,,,
"４９０
N2",娯,Ngu,Vui chơi
音： ご,娯楽,ごらく,"sự giải trí, sự vui chơi"
,,,
"４９１
N3",姫,Cơ,Công chúa
訓,姫,ひめ,"công chúa, tiểu thư"
音： き,美姫,びき,thiếu nữ xinh đẹp
,妖姫,ようき,người con gái quyến rũ
,,,
"４９２
N2",娠,Thần,Có thai
音： しん,妊娠,にんしん,việc mang thai
,,,
"４９３
N3",婦,Phụ,Đàn bà
音： ふ、ぷ,婦人,ふじん,"người phụ nữ, phu nhân"
,主婦,しゅふ,nội trợ
,看護婦,かんごふ,nữ y tá
,産婦人科,さんふじんか,khoa sản
,妊婦,にんぷ,phụ nữ mang thai
"４９４
N5",婚,Hôn,Cưới hỏi
音： こん,婚約,こんやく,việc đính hôn
,離婚,りこん,việc ly hôn
,再婚,さいこん,việc tái hôn
,新婚,しんこん,"tân hôn, việc mới cưới"
