"５６１
N3",尋,Tầm,Hỏi thăm
訓,尋ねる,たずねる,hỏi
音：  じん,尋問,じんもん,câu hỏi
,尋常,じんじょう,sự tầm thường
,審尋,しんじん,thẩm vấn
"５６２
N3",導,Đạo,Chỉ đạo
訓,導く,みちびく,"hướng dẫn, dẫn dắt"
音：  どう,導入,どうにゅう,đưa vào áp dụng
,指導,しどう,chỉ đạo
,引導,いんどう,cầu siêu
,主導,しゅどう,chủ đạo
"５６３
N5",小,Tiểu,Nhỏ
訓,小さい,ちいさい,nhỏ
,小鳥,ことり,con chim nhỏ
,小川,おがわ,dòng suối
音：  しょう,小説,しょうせつ,tiểu thuyết
,大小,だいしょう,lớn nhỏ
"５６４
N5",少,Thiểu,Ít
訓,少し,すこし,1 ít
,少ない,すくない,ít
音：  しょう,少女,しょうじょ,thiếu nữ
,多少,たしょう,ít nhiều
,減少,げんしょう,giảm thiểu
"５６５
N4",当,Đương,Đương thời
訓,当てる,あてる,"trúng, đánh trúng"
,当たる,あたる,"trúng, va chạm"
音：  とう,当時,とうじ,đương thời
,担当,たんとう,đảm đương
,本当,ほんとう,thật sự
"５６６
N2",尚,Thượng,"Hơn nữa, tôn kính"
訓,尚,なお,"chưa, ngoài ra"
音：  しょう,尚早,しょうそう,quá sớm
,和尚,おしょう,hòa thượng
,高尚,こうしょう,"lịch sự, tao nhã"
,好尚,こうしょう,"bếm mùi, tưởng tượng"
"５６７
N3",就,Tựu,Thành tựu
訓,就く,つく,bắt tay vào làm
,就ける,つける,"đảm nhiệm, cho"
音：  しゅう、じゅ,就任,しゅうにん,nhậm chức
,就職,しゅうしょく,tìm kiếm việc
,成就,じょうじゅ,thành tựu
５６８,尸,Bộ thi,
"５６９
N2",尺,Xích,30 cm
音：  しゃく,尺度,しゃくど,chừng mực
,現尺,げんしゃく,kích cỡ toàn bộ
,縮尺,しゅくしゃく,tỉ lệ thu nhỏ
,巻き尺,まきしゃく,thước cuộn
,計算尺,けいさんじゃく,thước tính
"５７０
N2",尼,Ni,Ni cô
訓,尼,あま,ni cô
音：  に,僧尼,そうに,tăng ni
,比丘尼,びくに,môn đệ tín đồ phật
,修道尼,しゅうどうに,nữ tu sĩ
,尼僧院,にそういん,nữ tu viện
"５７１
N2",尻,Cừu,Cái mông
訓,尻,しり,cái mông
,,,
,,,
"５７２
N2",尽,Tận,Cố sức
訓,尽きる,つきる,cạn sức
,尽くす,つくす,cống hiến
,尽かす,つかす,bị làm chán ghét
音：  じん,無尽蔵,むじんぞう,không bao giờ hết
,理不尽,りふじん,không biết điều
"５７３
N4",局,Cục,Bộ phận
音：  きょく,薬局,やっきょく,cửa hàng dược phẩm
,結局,けっきょく,kết cục
,当局,とうきょく,nhà cầm quyền
,郵便局,ゆうびんきょく,bưu điện
,放送局,ほうそうきょく,đài phát thanh
"５７４
N2",尾,Vĩ,Cái đuôi
訓,尾,お,cái đuôi
音：  び,尾行,びこう,bám sát
,尾翼,びよく,cánh đuôi (máy bay)
,交尾,こうび,giao phối
,追尾,ついび,sự truy đuổi
"５７５
N2",尿,Niệu,Nước tiểu
音：  にょう,尿道,にょうどう,niệu đạo
,尿管,にょうかん,đường tiết niệu
,尿酸,にょうさん,acid uric
,糖尿病,とうにょうびょう,bệnh tiểu đường
,尿路結石,にょうろけっせき,sỏi thận
"５７６
N4",居,Cư,"Hiện diện, ở"
訓,居る,いる,có
,居間,いま,phòng khách
音：  きょ,住居,じゅうきょ,"địa chỉ nhà, chổ ở"
,同居,どうきょ,sống chung
,皇居,こうきょ,hoàng cung
"５７７
N4",届,Giới,Mang đến
訓,（を）届ける,（を）とどける,đưa đến
,（に）届く,（に）とどく,gởi đến
,,,
"５７８
N2",屈,Khuất,"Nhượng bộ, bẻ cong"
音：  くつ,屈服,くっぷく,"nhượng bộ, quy phục"
,屈折,くっせつ,sự gấp khúc
,屈指,くっし,"dẫn đầu, nổi bật"
,理屈,りくつ,"logic, lý do"
,退屈,たいくつ,mệt mỏi
"５７９
N5",屋,Ốc,Mái nhà
訓,屋根,やね,mái nhà
,部屋,へや,cái phòng
音：  おく,屋上,おくじょう,sân thượng
,屋内,おくない,trong nhà
,家屋,かおく,địa ốc nhà cửa
"５８０
N5",展,Triển,Phát triển
音：  てん,展開,てんかい,"triển khai, khám phá"
,展示,てんじ,trưng bày
,展望,てんぼう,"quan sát, triển vọng"
,展覧会,てんらんかい,buổi triển lãm
,発展,はってん,phát triển
"５８１
N2",属,Thuộc,Phụ thuộc
訓,属す,ぞくす,thuộc về
音：  ぞく,帰属,きぞく,trở lại (tình trạng cũ)
,付属,ふぞく,sự phụ thuộc
,金属,きんぞく,kim loại
,所属,しょぞく,"sát nhập, vị trí"
"５８２
N3",層,Tằng,"Tầng, bậc"
音：  そう,高層,こうそう,cao ốc
,低層,ていそう,nhà thấp
,一層,いっそう,"hơn nhiều, thêm một bậc"
,,,
,,,
"５８３
N4",履,Lý,"Lý lịch, mặc đồ"
訓,（を）履く,（を）はく,mặc
音：  り,履行,りこう,"thực hiện, thi hành"
,履修,りしゅう,hoàn thành khóa học
,履歴書,りれきしょ,sơ yếu lý lịch
,,,
"５８４
N2",屯,Đồn,Đóng quân
音：  とん,屯所,とんしょ,nhà ga quân đội
,屯田,とんでん,chiếm làm thuộc
,駐屯,ちゅうとん,đóng quân
,,,
"５８５
N5",山,Sơn,Núi
訓,山,やま,núi
音：  さん、ざん,山地,さんち,miền núi
,山村,さんそん,làng trong núi
,火山,かざん,núi lửa
,登山,とざん,leo núi
"５８６
N2",岐,Kỳ,Phân nhánh
音：  き、ぎ,岐路,きろ,ngã rẻ
,多岐,たき,lạc đề
,分岐点,ぶんきてん,bước ngoặt
,岐阜県,ぎふけん,tỉnh gifu
,,,
"５８７
N3",岩,Nham,Tảng đá
訓,岩,いわ,đá dốc đá
音：  がん,岩塩,がんえん,muối khoáng
,岩礁,がんしょう,đá ngầm
,砂岩,さがん,"cát kết, đá cát"
,溶岩,ようがん,dung nham
"５８８
N4",岸,Ngạn,Bờ biển
訓,岸,きし,cột trụ
音：  がん,海岸,かいがん,bờ biển
,沿岸,えんがん,ven biển
,対岸,たいがん,bờ đối diện
,護岸,ごがん,bảo vệ đê
"５８９
N2",岳,Nhạc,Núi cao
訓,岳,たけ,núi cao
音：  がく,岳父,がくふ,bố vợ (chồng)
,岳人,がくじん,người leo núi
,山岳,さんがく,vùng núi
,,,
"５９０
N2",岬,Giáp,Mỏm đất
訓,岬,みさき,mũi đất
音：  こう,岬ℝ,こうかく,chổ đất lồi lên
,,,
,,,
"５９１
N2",岡,Cương,Cái đồi
訓,岡,おか,ngọn đồi
,岡山県,おかやまけん,Tỉnh Okayama
"５９２
N2",峠,Đèo,Ngọn đèo
訓,峠,とうげ,ngọn đèo
,,,
"５９３
N2",峡,Hạp,Eo biển
音：  きょう,峡谷,きょうこく,"hẻm núi, vực sâu"
,地峡,ちきょう,eo đất
,山峡,さんきょう,khe núi
,海峡,かいきょう,eo biển
"５９４
N4",島,Đảo,Hòn đảo
訓,島,しま,đảo
音：  とう,島内,とうない,trên đảo
,本島,ほんとう,hòn đảo chính
,離島,りとう,đảo biệt lập
,群島,ぐんとう,quần đảo
"５９５
N2",峰,Phong,Vách núi
訓,峰,みね,"chóp, ngọn, đỉnh"
音：  ほう,高峰,こうほう,núi cao
,連峰,れんぽう,"rặng núi, dãy núi"
,霊峰,れいほう,núi thần thánh
,最高峰,さいこうほう,đỉnh cao nhất
"５９６
N3",崩,Băng,"Sạt lỡ, sụp đổ"
訓,崩す,くずす,phá hủy
,崩れる,くずれる,đổ nhào
音：  ほう,崩落,ほうらく,sụp đổ
,崩御,ほうぎょ,sự băng hà
,,,
"５９７
N2",崎,Kỳ,Mũi đảo
訓,長崎,ながさき,tỉnh nagasaki
,,,
"５９８
N2",崇,Sùng,Tôn sùng
音：  すう,崇拝,すうはい,sùng bái
,崇敬,すうけい,tôn kính
,尊崇,そんすう,lòng kính trọng
,,,
"５９９
N2",崖,Nhai,Vách núi
訓,崖,がけ,vách đá
音：  がい,断崖,だんがい,hàng vách đá dốc
,懸崖,けんがい,vách đá nhô ra
,,,
"６００
N2",嵐,Lam,Giông tố
訓,嵐,あらし,bão tố
,,,
"６０１
N5",川,Xuyên,Con sông
訓,川,かわ,con sông
音：  せん,河川,かせん,sông ngòi
,山川,さんせん,sông núi
,,,
６０２,巛,Bộ xuyên,
