"６４１
N2",序,Tự,Trật tự
音： じょ,序列,じょれつ,xếp hạng
,序章,じょしょう,lời nói đầu
,序幕,じょまく,màn sân khấu
,公序,こうじょ,trật tự công cộng
,順序,じゅんじょ,trật tự
"６４２
N4",床,Sàng,"Sàn nhà, giường"
訓,床,ゆか,sàn nhà
,床屋,とこや,hiệu cắt tóc
音： しょう,起床,きしょう,sự thức dậy
,臨床,りんしょう,sự lâm sàng
,病床,びょうしょう,giường bệnh
"６４３
N5",店,Điếm,Cửa hàng
訓,店,みせ,"tiệm, quán"
音： てん,店内,てんない,bên trong cửa hàng
,売店,ばいてん,cửa tiệm
,支店,してん,chi nhánh
,書店,しょてん,cửa hàng sách
"６４４
N2",底,Để,Cái đáy
訓,底,そこ,"đáy, đế"
音： てい,底辺,ていへん,cạnh đáy
,海底,かいてい,đáy biển
,根底,こんてい,"nền tảng, gốc rể"
,徹底,てってい,triệt để
"６４５
N3",府,Phủ,Chính phủ
音： ふ,府立,ふりつ,sự quản lý của quận
,府警,ふけい,cảnh sát quận
,政府,せいふ,chiính phủ
,総理府,そうりふ,sắp xếp văn phòng
,都道府県,とどうふけん,đô đạo phủ huyện
"６４６
N5",度,Độ,"Lần, độ"
訓,度,たび,mỗi lần
音： ど、たく,温度,おんど,nhiệt độ
,制度,せいど,chế độ
,態度,たいど,thái độ
,支度,したく,"sự chuẩn bị, sửa soạn"
"６４７
N4",庫,Khố,Cái kho
音： こ,金庫,きんこ,két sắt
,車庫,しゃこ,nhà để xe
,在庫,ざいこ,tồn kho
,倉庫,そうこ,kho hàng
,国庫,こっこ,kho bạc
"６４８
N5",庭,Đình,"Sân, vườn"
訓,庭,にわ,sân vườn
音： てい,庭園,ていえん,khu vườn
,庭球,ていきゅう,quần vợt
,家庭,かてい,gia đình
,校庭,こうてい,sân trường
"６４９
N5",座,Tọa,"Ngồi, chòm sao"
訓,（に）座る,（に）すわる,ngồi
音： ざ,座席,ざせき,chổ ngồi
,連座,れんざ,có liên quan
,講座,こうざ,khóa học
,即座,そくざ,ứng khẩu
"６５０
N4",康,Khang,Yên vui
音： こう,康寧,こうねい,"thái bình, thanh thản"
,小康,しょうこう,thời kì tạm lắng
,健康,けんこう,sức khỏe
,,,
"６５１
N2",庶,Thứ,Đủ thứ
音： しょ,庶子,しょし,con ngoài giá thú
,庶政,しょせい,quan hệ chính trị
,庶民,しょみん,dân đen
